X,Y,Z
1.508,32.772,-3.875
1.513,32.778,-3.874
1.512,32.768,-3.874
1.512,32.768,-3.951
1.512,32.768,-3.953
1.507,32.767,-3.870
1.512,32.768,-3.869
1.515,32.770,-3.877
1.510,32.770,-3.867
1.507,32.767,-3.866
1.512,32.768,-3.868
1.512,32.768,-3.936
1.515,32.760,-3.866
1.512,32.768,-3.931
1.515,32.765,-3.862
1.515,32.765,-3.887
1.515,32.765,-3.869
1.515,32.760,-3.908
1.515,32.765,-3.864
1.515,32.765,-3.896
1.515,32.765,-3.916
1.515,32.765,-3.924
1.515,32.765,-3.947
1.515,32.760,-3.864
1.510,32.765,-3.865
1.515,32.765,-3.909
1.515,32.765,-3.913
1.515,32.765,-3.863
1.515,32.765,-3.875
1.515,32.760,-3.924
1.520,32.765,-3.914
1.515,32.765,-3.864
1.515,32.760,-3.881
1.520,32.760,-3.881
1.515,32.765,-3.860
1.515,32.765,-3.862
1.510,32.765,-3.871
1.510,32.765,-3.878
1.512,32.768,-3.862
1.507,32.762,-3.863
1.507,32.762,-3.916
1.507,32.762,-3.931
1.507,32.767,-3.923
1.510,32.765,-3.864
1.512,32.768,-3.947
1.512,32.768,-3.952
1.510,32.765,-3.865
1.510,32.765,-3.866
