Sample,X,Y,Z
0,0.086,0.023,0.664
1,-0.008,0.000,0.992
2,-0.012,-0.012,0.988
3,-0.004,0.008,0.977
4,-0.004,0.004,0.980
5,0.000,-0.020,0.984
6,-0.004,-0.008,0.988
7,-0.012,-0.004,0.984
8,0.000,0.004,0.988
9,-0.012,-0.012,0.988
10,-0.004,-0.008,0.973
11,-0.004,-0.008,0.992
12,-0.004,0.000,0.980
13,-0.008,-0.012,0.988
14,-0.008,-0.004,0.980
15,-0.004,-0.008,0.992
16,-0.012,-0.008,0.984
17,-0.008,-0.012,0.992
18,-0.004,-0.012,0.980
19,-0.012,-0.016,0.996
20,-0.008,-0.016,0.980
21,-0.008,-0.012,0.980
22,-0.004,-0.016,0.984
23,-0.008,0.000,0.988
24,-0.004,-0.039,1.012
25,-0.004,-0.031,0.988
26,-0.012,0.031,0.980
27,0.000,0.012,0.980
28,-0.004,0.004,0.992
29,-0.004,0.016,0.984
30,-0.004,-0.008,0.984
31,-0.004,-0.004,0.980
32,-0.004,-0.016,0.984
33,-0.004,-0.008,0.973
34,-0.004,-0.020,0.980
35,-0.008,-0.020,0.988
36,-0.004,-0.008,0.977
37,-0.004,-0.008,0.984
38,0.008,0.000,0.984
39,-0.004,0.004,0.992
40,-0.012,-0.008,0.988
41,0.004,-0.008,0.988
42,0.004,-0.008,0.980
43,-0.008,-0.004,0.992
44,-0.004,-0.008,0.984
45,-0.008,-0.012,0.988
46,0.000,-0.004,0.984
47,0.004,-0.008,0.984
48,-0.016,-0.023,0.984
49,-0.016,-0.008,0.980
50,-0.008,0.016,0.988
51,-0.004,-0.012,0.984
52,-0.012,-0.008,0.996
53,-0.008,-0.008,0.984
54,-0.008,-0.008,0.988
55,0.004,0.008,0.984
56,-0.008,-0.004,0.988
57,-0.008,-0.004,0.996
58,-0.008,0.000,0.984
59,0.000,-0.012,0.988
60,-0.012,-0.012,0.984
61,-0.012,0.008,0.977
62,0.000,-0.004,0.984
63,-0.008,-0.012,0.980
64,-0.004,0.000,0.992
65,0.000,-0.004,0.984
66,-0.012,-0.012,0.984
67,-0.004,-0.008,0.992
68,0.000,-0.004,0.984
69,0.000,-0.008,0.992
70,-0.008,-0.016,0.984
71,-0.004,-0.008,0.977
72,-0.004,0.004,0.980
73,0.012,-0.012,0.992
74,-0.016,-0.047,0.984
75,-0.023,0.000,0.984
76,-0.012,0.023,0.969
77,-0.008,-0.004,0.977
78,0.004,-0.004,0.992
79,-0.004,0.000,0.992
80,-0.004,0.008,0.984
81,0.000,-0.004,0.984
82,0.000,-0.012,0.996
83,-0.004,0.000,0.988
84,-0.004,-0.004,0.984
85,0.000,0.008,0.980
86,-0.012,0.000,0.965
87,0.000,0.008,1.012
88,0.016,0.043,1.043
89,-0.148,0.008,1.012
90,-0.645,-0.070,0.984
91,-0.906,-0.070,0.852
92,-0.582,-0.105,0.871
93,-0.262,0.023,0.914
94,-0.023,-0.039,1.059
95,-0.184,-0.031,1.051
96,-0.637,0.000,1.035
97,-0.801,-0.062,1.027
98,-0.609,-0.039,1.062
99,-0.184,0.082,0.996
100,0.031,0.078,1.012
101,-0.070,0.086,0.922
102,-0.258,0.035,0.906
103,-0.266,0.043,0.930
104,-0.184,0.000,0.977
105,-0.125,-0.051,1.074
106,-0.234,-0.039,1.086
107,-0.406,-0.023,1.004
108,-0.301,-0.035,0.945
109,-0.016,-0.082,0.934
110,0.391,-0.121,1.094
111,0.430,0.055,1.023
112,-0.199,0.129,0.879
113,-0.914,0.008,0.844
114,-1.117,-0.094,0.820
115,-0.656,-0.191,1.031
116,0.117,-0.020,1.121
117,0.496,0.070,1.090
118,0.262,0.043,1.008
119,-0.238,0.070,0.816
120,-0.688,0.168,0.766
121,-0.988,0.008,0.957
122,-0.875,-0.211,1.215
123,-0.434,-0.160,1.250
124,0.184,0.000,1.137
125,0.781,0.184,1.016
126,0.602,0.289,0.711
127,-0.426,0.141,0.855
128,-1.531,-0.230,0.969
129,-1.551,-0.562,1.152
130,-0.090,-0.176,1.207
131,1.262,0.426,0.996
132,1.168,0.523,0.551
133,-0.328,-0.039,1.156
134,-1.793,-0.477,0.984
135,-1.574,-0.484,1.020
136,0.324,0.160,1.023
137,1.125,0.520,0.684
138,0.617,0.164,0.707
139,-0.906,-0.285,1.145
140,-1.523,-0.441,1.090
141,-0.477,0.047,1.129
142,0.461,0.340,0.988
143,0.293,0.180,0.938
144,-0.430,-0.051,1.035
145,-0.797,-0.219,0.887
146,-0.484,-0.090,1.125
147,0.035,-0.137,1.203
148,0.402,0.012,1.117
149,0.074,0.465,0.711
150,-0.730,0.000,0.926
151,-0.992,-0.488,1.062
152,-0.500,-0.164,1.062
153,0.422,0.344,0.934
154,0.562,0.066,0.969
155,0.160,-0.129,0.949
156,-0.512,0.082,0.656
157,-1.250,-0.086,0.738
158,-0.965,-0.375,1.184
159,0.145,-0.051,1.125
160,0.574,0.438,0.867
161,0.137,0.109,1.000
162,-0.500,-0.191,0.953
163,-0.875,-0.023,0.926
164,-0.648,0.008,1.137
165,-0.164,-0.020,1.227
166,-0.281,0.082,1.027
167,-0.262,0.023,1.027
168,-0.199,0.039,0.887
169,-0.223,-0.039,1.105
170,-0.074,-0.070,1.223
171,-0.102,0.035,1.074
172,-0.391,0.039,0.895
173,-0.285,-0.133,0.883
174,-0.184,0.098,0.711
175,-0.359,-0.051,0.938
176,-0.027,-0.141,1.098
177,-0.133,-0.035,1.043
178,-0.098,0.062,0.969
179,-0.195,0.102,0.645
180,-0.652,-0.105,0.730
181,-0.586,-0.102,0.957
182,-0.359,0.004,1.047
183,-0.230,-0.004,1.281
184,-0.172,0.066,0.988
185,-0.285,0.000,0.949
186,-0.371,-0.004,1.113
187,-0.445,0.047,0.992
188,-0.176,-0.113,1.414
189,-0.109,0.105,1.152
190,-0.074,0.148,0.965
191,-0.176,-0.023,0.945
192,-0.469,0.039,0.781
193,-0.160,-0.020,0.945
194,-0.160,-0.020,0.945
195,0.000,0.027,0.941
196,-0.020,0.027,0.910
197,-0.262,-0.117,0.766
198,-0.238,-0.047,0.656
199,-0.117,-0.035,0.816
200,0.184,-0.160,1.027
201,0.191,-0.082,1.055
202,0.051,-0.082,1.137
203,0.160,-0.066,1.023
204,0.047,0.023,0.910
205,0.035,-0.047,1.008
206,0.199,0.027,1.191
207,0.277,0.160,1.191
208,0.152,0.090,1.184
209,0.074,0.066,1.051
210,-0.230,0.047,0.918
211,0.035,0.090,0.930
212,0.215,0.066,1.039
213,0.051,0.020,1.117
214,-0.133,-0.039,0.988
215,-0.184,-0.051,0.879
216,-0.277,-0.129,0.844
217,-0.082,-0.098,0.848
218,0.055,-0.094,0.996
219,-0.031,0.016,1.012
220,-0.094,-0.086,0.875
221,-0.375,-0.020,0.859
222,-0.438,-0.078,0.887
223,-0.332,0.008,0.898
224,0.078,0.074,1.066
225,0.156,0.051,1.012
226,0.027,-0.074,1.094
227,-0.074,-0.004,0.883
228,0.039,0.020,0.922
229,0.082,-0.062,1.066
230,-0.055,-0.023,1.098
231,0.012,0.035,1.098
232,0.117,0.023,1.062
233,0.141,0.020,0.938
234,0.230,0.070,0.988
235,0.172,0.082,0.953
236,-0.016,0.012,0.996
237,0.074,-0.004,1.039
238,0.016,-0.031,0.965
239,-0.090,-0.078,0.934
240,-0.062,-0.031,0.934
241,0.133,-0.020,1.020
242,0.082,0.027,1.023
243,-0.047,-0.051,1.062
244,-0.148,-0.137,1.043
245,-0.074,0.023,0.906
246,0.020,0.023,0.953
247,-0.164,0.012,0.965
248,-0.270,0.031,0.949
249,-0.090,-0.023,0.945
250,-0.004,0.008,0.941
251,0.000,0.062,0.879
252,0.082,-0.012,1.023
253,-0.008,-0.004,1.012
254,-0.062,-0.012,1.082
255,-0.164,-0.035,1.043
256,-0.215,-0.141,1.137
257,-0.078,0.008,1.035
258,0.199,0.078,0.984
259,0.227,0.074,1.004
260,0.074,-0.062,0.969
261,-0.117,-0.062,0.895
262,-0.039,-0.023,0.816
263,-0.109,0.008,0.820
264,-0.016,-0.059,0.859
265,0.020,-0.055,0.891
266,0.180,-0.039,0.930
267,0.305,0.043,1.004
268,0.227,0.000,1.074
269,-0.043,-0.035,1.090
270,-0.035,0.008,1.121
271,0.078,0.062,1.109
272,0.078,0.074,1.121
273,0.105,-0.031,1.102
274,-0.016,0.066,0.965
275,0.066,0.086,0.953
276,-0.082,-0.016,0.945
277,-0.203,0.008,0.965
278,-0.277,-0.047,0.961
279,-0.121,-0.055,0.996
280,-0.027,0.027,0.934
281,-0.004,0.004,0.945
282,0.027,-0.055,0.965
283,-0.074,-0.055,0.973
284,0.102,-0.004,1.023
285,0.066,0.000,0.930
286,-0.090,-0.070,1.016
287,-0.152,0.035,0.906
288,-0.039,0.023,0.891
289,-0.016,-0.027,0.988
290,-0.012,-0.102,1.008
291,0.020,0.027,0.957
292,0.102,-0.031,0.941
293,0.160,0.008,0.906
294,0.051,-0.023,0.961
295,-0.086,-0.055,0.996
296,0.055,-0.023,1.066
297,0.246,0.051,1.109
298,0.242,0.074,1.059
299,0.145,-0.012,1.035
300,-0.055,-0.020,0.980
301,0.094,0.109,0.902
302,0.023,0.031,0.973
303,-0.055,-0.066,1.016
304,-0.074,0.023,0.934
305,0.055,0.004,0.957
306,-0.012,-0.039,1.004
307,0.047,-0.059,1.035
308,-0.066,-0.043,0.938
309,-0.125,-0.008,0.988
310,0.000,-0.074,1.062
311,-0.043,0.074,1.031
312,-0.152,-0.047,1.062
313,-0.121,-0.027,1.020
314,-0.043,0.059,1.020
315,-0.109,0.156,0.898
316,-0.250,-0.098,0.910
317,-0.137,-0.039,0.914
318,0.184,0.043,0.848
319,0.250,-0.004,0.980
320,0.066,-0.125,0.992
321,0.051,-0.031,0.934
322,0.117,-0.016,0.961
323,0.023,-0.059,0.992
324,0.086,-0.012,1.086
325,0.219,-0.016,1.039
326,0.133,-0.012,1.039
327,0.133,0.059,1.016
328,0.086,0.102,0.973
329,-0.121,-0.023,0.934
330,-0.102,-0.066,0.926
331,0.105,0.074,0.938
332,0.125,0.008,0.949
333,0.102,-0.121,1.000
334,0.074,0.023,0.926
335,0.117,0.031,1.008
336,-0.059,-0.078,1.000
337,-0.273,-0.113,1.121
338,-0.246,0.031,1.055
339,-0.004,0.039,1.051
340,0.004,0.066,1.055
341,-0.090,0.074,0.992
342,-0.152,-0.020,0.988
343,-0.254,-0.055,0.961
344,-0.238,-0.008,0.922
345,-0.121,-0.016,0.871
346,-0.188,-0.059,0.977
347,0.074,-0.004,0.941
348,0.148,-0.016,0.969
349,0.207,-0.004,1.047
350,0.066,-0.074,1.051
351,-0.039,0.051,0.996
352,0.109,0.027,1.031
353,0.098,0.012,1.000
354,0.047,0.035,1.055
355,0.211,0.031,0.973
356,0.266,0.004,0.984
357,0.090,0.031,0.910
358,0.051,-0.039,0.875
359,0.020,-0.117,0.934
360,-0.004,-0.027,0.844
361,0.113,-0.051,0.965
362,0.074,-0.082,1.008
363,-0.105,-0.117,1.059
364,0.012,0.051,0.992
365,0.074,0.051,1.000
366,-0.105,0.020,0.992
367,-0.211,-0.043,1.020
368,-0.137,0.078,0.926
369,-0.168,0.035,1.035
370,-0.211,0.016,0.926
