Sample,X,Y,Z
0,0.004,-0.016,0.594
1,-0.004,0.000,0.984
2,-0.004,0.000,0.984
3,-0.008,-0.008,0.984
4,-0.008,-0.008,0.988
5,-0.008,0.004,0.992
6,-0.008,-0.004,0.984
7,-0.008,-0.004,0.980
8,-0.008,-0.008,0.984
9,-0.004,0.008,0.980
10,0.000,0.008,0.980
11,0.000,-0.004,0.988
12,-0.012,-0.004,0.984
13,-0.004,-0.016,0.984
14,0.000,0.000,0.977
15,-0.012,-0.008,0.984
16,-0.016,0.000,0.977
17,-0.008,0.004,0.980
18,-0.008,0.000,0.988
19,-0.016,0.000,0.980
20,-0.004,0.008,0.984
21,-0.008,0.004,0.988
22,-0.012,0.000,0.984
23,-0.008,-0.012,0.984
24,-0.004,-0.004,0.984
25,-0.004,0.012,0.988
26,-0.008,0.012,0.996
27,0.000,-0.012,0.992
28,-0.012,0.008,0.980
29,-0.008,0.043,0.988
30,-0.012,-0.004,0.988
31,-0.008,0.008,0.984
32,-0.004,-0.004,0.984
33,0.000,-0.008,0.992
34,0.004,-0.004,0.992
35,-0.012,0.008,0.988
36,-0.004,0.000,0.992
37,-0.004,0.000,0.980
38,-0.004,0.008,0.980
39,0.000,0.004,0.980
40,-0.004,0.000,0.988
41,0.000,-0.008,0.988
42,-0.012,-0.004,0.984
43,-0.004,0.000,0.984
44,-0.008,0.000,0.984
45,-0.008,-0.004,0.984
46,-0.004,-0.012,0.988
47,-0.004,0.012,0.988
48,-0.004,-0.020,0.984
49,-0.016,-0.012,0.980
50,-0.012,0.008,0.996
51,-0.012,0.008,0.988
52,-0.008,-0.004,0.996
53,-0.008,0.016,0.988
54,-0.012,-0.016,0.992
55,-0.004,0.000,0.988
56,-0.008,-0.004,0.984
57,-0.008,0.000,0.984
58,-0.008,-0.008,0.988
59,-0.004,-0.004,0.984
60,-0.008,0.004,0.984
61,-0.012,0.000,0.984
62,-0.008,-0.004,0.988
63,-0.008,0.004,0.988
64,0.004,-0.008,0.984
65,-0.012,0.008,0.984
66,-0.004,-0.004,0.977
67,-0.012,-0.008,0.988
68,-0.004,-0.012,0.988
69,-0.008,-0.004,0.988
70,-0.004,0.000,0.984
71,-0.023,0.012,0.977
72,-0.008,-0.004,0.988
73,0.000,-0.012,0.992
74,-0.012,-0.012,0.988
75,-0.008,-0.008,0.977
76,-0.012,-0.012,0.984
77,0.000,-0.008,0.988
78,-0.020,0.000,0.980
79,0.000,-0.004,0.984
80,-0.008,-0.008,0.984
81,-0.004,0.000,0.984
82,-0.012,-0.004,0.984
83,-0.012,-0.008,0.988
84,-0.004,-0.008,0.977
85,-0.004,-0.012,0.988
86,-0.016,0.004,0.973
87,-0.008,-0.004,0.980
88,-0.004,0.047,0.965
89,-0.055,-0.020,0.988
90,-0.078,-0.246,1.109
91,-0.020,-0.305,1.137
92,0.090,-0.117,1.020
93,0.137,-0.043,0.922
94,0.059,-0.195,0.953
95,-0.145,-0.355,1.004
96,-0.164,-0.500,1.129
97,0.098,-0.398,1.129
98,0.180,-0.305,0.980
99,0.070,-0.410,0.855
100,0.035,-0.539,0.848
101,0.004,-0.598,0.871
102,0.070,-0.629,0.992
103,0.223,-0.512,0.973
104,0.250,-0.328,0.840
105,0.062,-0.301,0.809
106,-0.246,-0.406,0.859
107,-0.504,-0.473,0.914
108,-0.469,-0.422,0.980
109,-0.180,-0.188,0.930
110,0.113,0.121,0.766
111,-0.043,0.125,0.750
112,-0.270,-0.199,1.012
113,-0.215,-0.449,1.297
114,0.199,-0.121,1.336
115,0.629,0.363,1.129
116,0.305,0.359,1.008
117,-0.551,-0.105,1.102
118,-0.906,-0.301,1.137
119,-0.277,-0.145,1.219
120,0.676,-0.078,1.203
121,1.219,-0.211,1.184
122,0.980,-0.309,0.941
123,0.051,-0.164,0.711
124,-0.949,-0.379,0.812
125,-1.320,-0.582,0.852
126,-0.637,-0.629,0.906
127,0.566,-0.582,1.078
128,1.621,-0.406,1.105
129,1.613,-0.059,0.652
130,-0.199,-0.262,0.316
131,-1.875,-0.566,0.727
132,-1.766,-0.793,0.746
133,0.051,-0.645,1.090
134,1.715,-0.047,1.410
135,1.523,0.453,0.938
136,-0.508,0.105,1.004
137,-1.859,-0.793,1.027
138,-1.391,-0.863,1.102
139,1.148,0.113,1.461
140,1.949,0.766,0.816
141,0.648,0.262,0.527
142,-1.035,-0.461,1.543
143,-1.473,-0.723,1.297
144,-0.387,-0.168,1.184
145,0.738,0.219,1.301
146,0.664,0.121,0.812
147,0.801,-0.230,0.805
148,-0.500,-0.422,0.617
149,-1.109,-0.457,0.730
150,-0.445,-0.434,1.051
151,0.723,-0.469,1.074
152,0.883,-0.039,0.891
153,-0.031,-0.449,0.797
154,-0.387,-0.562,0.734
155,-0.102,-0.367,0.902
156,-0.078,-0.324,0.887
157,0.012,-0.348,1.250
158,0.238,-0.262,1.055
159,-0.277,-0.184,0.871
160,-0.371,-0.516,1.043
161,0.363,-0.285,1.066
162,0.797,0.020,1.055
163,0.176,-0.023,1.129
164,-0.473,-0.273,1.074
165,-0.645,-0.156,0.859
166,-0.570,-0.309,0.953
167,0.230,-0.273,1.258
168,0.492,0.441,0.801
169,-0.125,0.070,0.895
170,-0.465,-0.578,1.148
171,-0.305,-0.312,0.871
172,0.336,0.090,0.965
173,0.824,-0.086,1.102
174,0.309,-0.355,1.141
175,-0.254,-0.242,1.156
176,-0.719,-0.500,0.934
177,-0.500,-0.473,0.945
178,0.332,-0.445,1.012
179,0.637,-0.391,0.840
180,0.223,-0.281,0.758
181,-0.199,-0.449,0.738
182,-0.430,-0.641,0.809
183,-0.070,-0.348,0.867
184,0.211,-0.121,0.844
185,0.234,-0.035,1.035
186,0.031,-0.105,1.031
187,-0.324,-0.336,1.070
188,-0.168,-0.121,1.000
189,-0.031,0.242,0.832
190,0.188,-0.113,1.102
191,-0.051,-0.191,0.945
192,-0.059,-0.094,1.137
193,0.195,-0.145,1.242
194,0.320,-0.082,1.172
195,0.242,-0.168,1.203
196,-0.141,-0.191,1.121
197,-0.211,-0.230,1.121
198,-0.402,-0.168,0.930
199,-0.023,-0.047,0.961
200,0.141,-0.164,0.789
201,-0.148,-0.598,1.043
202,-0.297,0.109,0.629
203,-0.410,0.133,0.422
204,-0.082,-0.203,0.852
205,0.281,-0.188,0.949
206,0.449,0.203,0.918
207,0.449,0.402,1.012
208,0.145,-0.105,1.133
209,0.023,-0.164,1.258
210,-0.293,0.184,0.977
211,-0.254,0.254,0.992
212,-0.312,0.074,0.926
213,-0.352,-0.250,1.195
214,0.121,-0.074,1.211
215,0.445,0.094,1.137
216,0.625,0.320,0.988
217,0.238,0.047,1.023
218,-0.355,-0.117,1.051
219,-0.613,-0.203,1.219
220,-0.148,0.066,0.918
221,0.238,0.062,0.848
222,0.285,-0.137,1.004
223,0.059,-0.148,0.938
224,-0.215,-0.207,0.602
225,-0.223,-0.188,0.766
226,-0.125,-0.301,0.934
227,0.148,-0.070,0.789
228,0.211,0.031,0.746
229,0.125,-0.059,0.875
230,0.020,-0.156,1.086
231,-0.203,0.062,1.137
232,-0.176,0.043,1.242
233,0.008,0.090,1.195
234,-0.191,0.207,1.035
235,-0.336,-0.105,1.266
236,0.129,0.012,1.164
237,0.508,0.121,1.195
238,0.492,0.199,0.957
239,0.051,-0.141,1.039
240,-0.426,-0.129,0.777
241,-0.680,0.020,0.695
242,-0.316,0.090,0.707
243,0.031,-0.012,0.910
244,0.250,0.086,0.910
245,0.285,0.059,0.984
246,0.457,0.125,0.938
247,0.289,-0.051,1.016
248,0.109,0.043,1.102
249,-0.102,0.016,1.031
250,-0.188,-0.039,1.055
251,-0.188,-0.188,1.098
252,-0.207,-0.059,1.086
253,-0.160,-0.188,1.137
254,-0.004,-0.113,0.922
255,0.105,-0.129,0.867
256,0.008,-0.062,1.000
257,0.066,-0.027,0.984
258,0.016,0.027,0.957
259,0.141,0.129,0.914
260,0.082,-0.020,1.113
261,0.008,0.082,1.098
262,-0.145,0.109,1.004
263,-0.211,0.168,0.750
264,-0.289,-0.109,0.918
265,-0.172,-0.133,0.906
266,-0.102,0.023,0.883
267,0.043,0.090,0.848
268,0.312,-0.098,0.961
269,0.207,-0.059,0.930
270,0.109,0.074,0.977
271,0.172,-0.031,1.113
272,-0.043,0.027,1.180
