Sample,X,Y,Z
0,-0.117,0.004,0.625
1,0.000,-0.004,0.984
2,-0.008,-0.004,0.977
3,0.000,-0.020,0.977
4,-0.004,-0.012,0.988
5,-0.008,-0.012,0.977
6,-0.012,-0.008,0.977
7,0.000,-0.008,0.980
8,-0.004,-0.004,0.988
9,-0.008,-0.004,0.984
10,-0.008,-0.012,0.980
11,-0.004,0.004,0.980
12,-0.004,-0.008,0.977
13,0.000,0.000,0.988
14,0.004,-0.008,0.984
15,0.000,-0.004,0.973
16,0.000,0.000,0.984
17,0.000,0.000,0.977
18,-0.008,-0.020,0.984
19,-0.004,-0.016,0.980
20,-0.004,-0.004,0.980
21,0.000,-0.004,0.984
22,-0.008,-0.012,0.992
23,-0.008,0.000,0.988
24,0.000,-0.051,0.984
25,-0.012,0.000,0.984
26,-0.008,-0.027,0.984
27,-0.004,-0.012,0.984
28,-0.004,-0.039,0.984
29,0.000,-0.016,0.980
30,-0.008,-0.004,0.980
31,-0.004,-0.012,0.988
32,-0.012,0.004,0.984
33,-0.004,-0.004,0.977
34,-0.004,-0.004,0.980
35,-0.004,-0.008,0.988
36,0.000,0.012,0.977
37,-0.008,0.000,0.984
38,-0.004,-0.008,0.984
39,0.000,-0.004,0.980
40,0.000,-0.008,0.984
41,-0.004,-0.012,0.984
42,-0.008,-0.008,0.977
43,-0.008,-0.012,0.984
44,-0.004,0.000,0.977
45,-0.004,-0.004,0.984
46,-0.004,-0.004,0.980
47,0.000,-0.008,0.980
48,-0.004,-0.039,0.984
49,-0.004,0.016,0.992
50,-0.004,-0.008,0.980
51,-0.008,0.008,0.980
52,-0.004,-0.004,0.984
53,-0.004,-0.012,0.984
54,0.000,-0.012,0.980
55,-0.008,-0.012,0.984
56,-0.004,-0.012,0.988
57,-0.004,0.000,0.988
58,-0.004,0.000,0.977
59,-0.012,-0.004,0.980
60,-0.008,-0.004,0.980
61,0.000,-0.008,0.988
62,-0.008,0.000,0.980
63,-0.004,-0.012,0.988
64,-0.004,-0.008,0.977
65,0.000,-0.004,0.977
66,-0.004,-0.016,0.984
67,0.000,-0.008,0.977
68,-0.004,-0.008,0.977
69,0.004,0.004,0.984
70,-0.004,-0.004,0.980
71,-0.012,0.000,0.984
72,-0.012,-0.035,0.984
73,-0.012,-0.008,0.969
74,-0.004,-0.035,0.977
75,0.000,-0.008,0.980
76,-0.008,0.020,0.973
77,-0.008,0.008,0.988
78,0.000,0.000,0.980
79,-0.004,0.000,0.980
80,-0.004,-0.004,0.988
81,-0.012,-0.008,0.984
82,-0.008,-0.004,0.980
83,0.000,0.000,0.988
84,0.000,-0.008,0.980
85,0.000,-0.008,0.980
86,-0.004,0.000,0.996
87,0.000,0.020,0.992
88,-0.035,0.047,1.004
89,-0.242,-0.016,1.020
90,-0.590,-0.086,1.000
91,-0.719,-0.055,0.906
92,-0.500,-0.051,0.887
93,-0.289,0.031,0.883
94,-0.250,0.020,0.969
95,-0.441,-0.004,0.996
96,-0.695,-0.016,1.027
97,-0.641,0.012,1.047
98,-0.426,0.086,1.027
99,-0.129,0.102,1.074
100,-0.004,-0.035,1.090
101,0.020,-0.059,1.051
102,0.008,-0.082,0.984
103,-0.035,-0.141,0.961
104,0.027,-0.094,0.973
105,0.027,0.047,0.859
106,-0.125,0.039,0.867
107,-0.344,-0.035,1.043
108,-0.477,-0.082,1.082
109,-0.383,-0.066,1.035
110,-0.113,0.055,0.910
111,0.051,0.113,0.766
112,-0.051,0.078,0.738
113,-0.438,-0.129,0.898
114,-0.613,-0.246,1.164
115,-0.332,-0.004,1.172
116,-0.141,0.277,0.957
117,-0.301,0.184,0.988
118,-0.633,-0.016,1.082
119,-0.699,-0.105,1.004
120,-0.223,-0.113,1.094
121,0.371,-0.094,1.191
122,0.477,0.039,1.062
123,0.078,0.281,0.730
124,-0.797,0.121,0.652
125,-1.195,-0.125,0.926
126,-0.691,-0.270,1.227
127,0.324,-0.160,1.363
128,1.137,0.055,1.281
129,0.805,0.297,0.734
130,-0.641,0.215,0.398
131,-1.660,-0.102,0.617
132,-1.496,-0.441,0.945
133,-0.113,-0.383,1.348
134,1.203,0.266,1.359
135,0.734,0.430,0.754
136,-0.762,0.180,0.621
137,-1.227,-0.305,1.031
138,-0.883,-0.477,1.133
139,0.344,0.105,1.395
140,0.633,0.441,0.977
141,-0.488,0.168,0.805
142,-0.902,-0.086,1.012
143,-0.605,-0.352,1.047
144,0.070,-0.004,1.113
145,0.742,0.316,1.227
146,0.141,0.031,0.879
147,-0.707,0.020,0.836
148,-0.820,-0.008,0.781
149,-0.840,-0.109,0.605
150,-0.195,-0.215,1.234
151,0.508,-0.039,1.453
152,0.215,0.293,0.812
153,-0.391,0.133,0.656
154,-0.758,-0.402,1.008
155,-0.570,-0.223,0.816
156,-0.121,0.195,0.840
157,0.234,0.082,1.215
158,0.004,-0.102,1.297
159,-0.410,0.121,0.871
160,-0.547,0.086,0.770
161,-0.262,-0.320,1.090
162,0.215,-0.008,1.340
163,0.012,0.336,0.844
164,-0.590,-0.012,0.879
165,-0.559,-0.141,1.113
166,-0.410,0.023,0.668
167,0.070,-0.047,0.855
168,0.316,0.102,1.379
169,-0.449,0.094,1.035
170,-0.914,-0.137,0.852
171,-0.566,0.000,0.910
172,-0.336,-0.035,0.598
173,0.227,-0.160,1.023
174,0.422,0.094,1.398
175,-0.465,0.121,0.953
176,-0.793,-0.152,1.051
177,-0.469,-0.070,1.000
178,-0.211,-0.051,0.641
179,0.410,-0.023,1.133
180,0.164,0.094,1.230
181,-0.699,-0.062,0.941
182,-0.578,-0.031,0.945
183,-0.445,0.020,0.680
184,-0.020,-0.051,0.809
185,0.273,0.082,1.168
186,-0.500,0.059,1.074
187,-0.758,-0.016,1.094
188,-0.430,-0.023,0.965
189,-0.152,0.012,0.766
190,0.340,0.148,1.027
191,0.203,-0.035,1.203
192,-0.500,0.086,1.129
193,-0.594,-0.012,1.137
194,-0.457,-0.184,0.930
195,-0.148,0.039,0.805
196,0.145,-0.051,0.961
197,-0.078,0.000,1.051
198,-0.113,0.051,1.004
199,-0.484,-0.145,0.781
200,-0.578,0.008,0.883
201,-0.316,-0.008,0.766
202,-0.211,-0.086,0.891
203,0.250,0.102,1.273
204,0.090,-0.027,1.008
205,0.062,-0.027,1.012
206,0.141,0.062,0.906
207,0.035,-0.047,0.809
208,0.078,-0.023,1.129
209,-0.023,0.008,1.145
210,-0.148,-0.086,1.062
211,0.355,0.023,1.168
212,0.473,0.082,0.922
213,0.262,0.086,0.930
214,0.094,-0.059,1.098
215,-0.250,-0.043,0.953
216,0.020,0.070,0.902
217,-0.043,0.008,0.891
218,-0.055,-0.090,0.977
219,0.113,0.043,0.910
220,0.098,0.039,0.895
221,0.008,-0.008,1.203
222,-0.250,-0.035,1.004
223,-0.344,-0.020,0.879
224,-0.266,0.055,0.922
225,-0.266,-0.078,1.004
226,-0.141,0.004,1.004
227,0.035,0.031,1.016
228,0.074,-0.078,0.906
229,0.215,0.031,0.914
230,0.094,0.008,0.887
231,-0.285,-0.074,0.898
232,-0.238,-0.066,1.172
233,-0.082,-0.008,1.098
234,0.012,0.004,1.059
235,0.078,-0.020,1.254
236,0.152,-0.031,1.039
237,0.223,0.090,0.863
238,0.109,0.125,0.852
239,-0.148,-0.078,0.836
240,-0.215,-0.086,0.895
241,-0.113,-0.062,0.859
242,0.047,-0.012,0.793
243,0.184,-0.023,1.023
244,0.285,-0.016,1.082
245,0.219,0.070,1.016
246,0.055,0.070,1.121
247,-0.215,-0.043,1.082
248,-0.410,-0.113,1.082
249,-0.070,0.023,1.184
250,0.164,0.074,1.004
251,0.266,0.023,1.008
252,0.148,-0.043,0.949
253,-0.086,-0.027,0.785
254,-0.078,0.008,0.777
255,-0.078,-0.039,0.926
256,-0.129,0.000,1.008
257,-0.059,0.016,0.992
258,0.074,-0.008,1.152
259,0.062,0.008,1.062
260,-0.070,0.035,0.977
261,0.000,-0.039,1.051
262,-0.008,-0.012,0.996
263,-0.023,-0.023,0.832
264,-0.258,-0.016,0.887
265,-0.301,-0.117,0.883
266,-0.133,-0.047,0.898
267,0.191,-0.016,0.988
268,0.168,0.008,0.965
269,0.074,0.035,0.984
270,0.012,-0.051,0.977
271,-0.023,0.000,1.012
272,-0.051,0.008,1.004
273,-0.023,0.012,1.113
274,-0.004,0.035,1.133
275,0.082,0.008,1.117
276,0.191,-0.020,1.066
277,-0.098,-0.047,0.961
278,-0.020,0.047,0.855
279,-0.012,0.062,0.820
280,-0.031,-0.039,0.902
281,-0.105,-0.035,0.926
282,-0.062,-0.004,0.918
283,0.191,0.004,0.965
284,0.277,-0.023,1.078
285,0.223,0.023,1.035
286,0.012,0.031,0.941
287,-0.059,-0.039,1.012
288,-0.090,-0.012,1.145
289,0.008,0.000,1.035
290,0.051,0.039,1.160
291,-0.027,-0.008,1.074
292,0.047,0.000,1.051
293,0.051,-0.020,0.840
294,-0.133,-0.031,0.852
295,-0.023,-0.043,0.887
296,0.145,0.004,0.777
297,0.121,-0.027,0.883
298,0.031,-0.035,0.992
299,-0.031,-0.043,0.969
300,-0.047,-0.020,0.914
301,-0.070,-0.059,1.051
302,-0.148,-0.012,1.082
303,-0.102,0.043,1.059
304,0.008,0.000,0.992
305,0.043,-0.031,1.027
306,0.078,0.031,0.941
307,-0.105,-0.039,0.969
308,-0.207,-0.023,1.000
309,-0.039,-0.008,0.969
310,0.043,0.023,0.879
311,0.039,-0.023,0.996
312,0.090,0.016,1.094
313,0.141,0.047,1.004
314,0.117,0.051,1.039
315,0.004,-0.008,1.172
316,-0.047,-0.059,1.043
317,-0.102,0.027,0.930
318,-0.023,0.023,0.973
319,0.078,0.004,0.855
320,0.133,0.000,0.910
321,0.215,-0.035,0.891
322,0.121,-0.023,0.910
323,0.078,0.008,0.934
324,-0.066,-0.117,1.031
325,-0.070,-0.055,1.059
326,0.105,0.039,1.051
327,0.109,0.043,1.016
328,0.023,-0.012,1.094
329,-0.023,-0.027,1.062
330,0.004,0.023,0.895
331,-0.012,-0.059,0.918
332,-0.148,-0.008,0.957
333,-0.211,-0.016,0.816
334,-0.168,-0.055,0.816
335,0.051,0.004,0.977
336,0.141,0.117,0.965
337,0.090,-0.043,1.051
338,0.008,0.000,1.145
339,-0.078,-0.004,1.043
340,-0.145,0.004,0.949
341,-0.164,-0.047,1.090
342,-0.105,-0.039,1.031
343,0.109,0.020,0.992
344,0.262,0.039,1.008
345,0.031,-0.008,0.980
346,-0.098,-0.043,0.895
347,-0.059,0.000,0.910
348,0.035,0.008,0.898
349,0.004,0.012,0.941
350,0.113,-0.012,1.031
351,0.230,-0.016,1.023
352,0.219,0.035,0.988
353,0.285,0.055,1.090
354,0.027,-0.027,0.980
355,-0.215,-0.008,1.062
356,-0.203,-0.051,1.074
357,-0.105,-0.020,0.953
358,0.039,0.012,1.051
359,0.102,-0.020,0.953
360,0.121,0.027,0.824
361,-0.016,0.004,0.898
362,-0.309,-0.047,0.816
363,-0.340,-0.094,0.902
364,0.023,-0.012,1.027
365,0.055,-0.012,1.000
366,0.023,-0.016,1.031
367,0.035,-0.031,1.109
368,-0.223,-0.055,0.906
369,-0.172,-0.023,1.035
370,0.012,0.035,0.953
371,-0.027,-0.066,0.879
372,0.062,0.027,0.969
373,0.211,0.012,1.027
374,0.211,0.051,0.922
375,0.094,0.043,1.004
376,0.023,-0.043,1.020
377,0.008,0.004,0.980
378,0.098,0.078,1.043
379,0.141,0.023,1.102
380,0.172,-0.039,1.027
381,0.066,0.016,1.070
382,-0.027,0.023,1.086
383,-0.078,0.000,1.008
384,-0.141,-0.039,1.055
385,-0.176,-0.070,0.906
386,-0.008,0.023,0.895
387,0.168,0.070,0.852
388,-0.051,-0.043,0.770
389,-0.117,-0.047,0.852
390,-0.148,-0.078,0.969
391,-0.211,-0.039,0.965
392,-0.172,0.035,1.012
393,-0.086,-0.016,1.105
394,-0.051,0.023,1.051
395,-0.051,0.004,1.129
396,-0.062,0.047,1.141
397,-0.098,-0.059,1.039
398,-0.141,0.020,1.012
399,-0.020,0.016,0.945
400,-0.020,-0.027,0.773
401,-0.105,-0.090,0.879
402,0.082,0.027,0.906
403,0.191,-0.027,0.844
404,0.195,0.020,0.906
405,0.094,0.023,1.070
406,0.035,-0.027,0.973
407,0.012,-0.004,1.016
408,0.113,-0.016,1.125
409,0.055,-0.020,1.078
410,0.090,-0.051,1.004
411,0.121,0.000,0.977
412,0.113,-0.031,0.895
413,0.082,0.016,0.961
414,-0.172,-0.055,0.953
415,-0.254,-0.012,0.953
416,-0.066,0.027,0.992
417,-0.055,-0.004,0.996
418,-0.125,0.004,1.043
419,0.027,0.023,1.051
420,0.059,0.039,0.969
421,-0.039,0.031,1.000
422,-0.156,-0.023,1.082
423,-0.215,-0.039,0.914
424,-0.137,0.047,0.945
425,-0.078,-0.055,1.020
426,-0.027,-0.012,0.973
427,-0.035,-0.047,0.988
428,-0.066,-0.027,0.996
429,-0.109,-0.047,0.898
430,-0.184,-0.016,0.895
431,-0.109,-0.035,1.008
432,-0.070,0.016,0.965
433,0.230,-0.004,1.098
434,0.258,0.020,0.902
435,0.012,-0.043,1.043
436,0.074,0.035,1.004
437,0.023,-0.012,0.926
438,0.051,0.023,0.953
439,0.086,0.000,1.059
440,0.020,-0.047,0.918
441,0.070,-0.020,0.965
442,0.195,0.020,0.965
443,0.109,0.020,0.879
444,-0.012,-0.055,0.984
445,-0.168,-0.031,0.988
446,-0.164,-0.012,0.980
447,-0.121,-0.055,1.062
448,-0.160,0.000,1.098
449,-0.066,0.023,1.078
450,0.082,0.012,1.055
