Sample,X,Y,Z
0,0.012,-0.016,0.652
1,-0.004,-0.008,0.984
2,-0.008,-0.012,0.977
3,-0.012,0.004,0.980
4,-0.004,-0.012,0.984
5,0.000,0.008,0.984
6,0.000,0.004,0.984
7,-0.016,0.000,0.980
8,-0.004,-0.008,0.984
9,-0.008,-0.012,0.977
10,-0.008,-0.008,0.977
11,-0.004,0.000,0.984
12,-0.008,-0.004,0.984
13,-0.012,-0.004,0.984
14,-0.008,-0.008,0.980
15,-0.004,0.004,0.977
16,0.000,-0.004,0.980
17,0.004,0.004,0.980
18,-0.008,-0.004,0.984
19,-0.008,-0.008,0.984
20,-0.004,0.004,0.984
21,-0.004,0.008,0.988
22,0.004,0.000,0.988
23,-0.016,-0.012,0.977
24,-0.020,-0.035,0.984
25,-0.008,-0.012,0.992
26,0.004,0.000,0.988
27,-0.008,-0.020,0.988
28,-0.016,0.020,0.977
29,-0.016,-0.035,0.980
30,-0.012,-0.008,0.980
31,-0.004,0.000,0.984
32,-0.008,0.000,0.988
33,-0.008,-0.008,0.980
34,-0.008,-0.016,0.980
35,-0.004,-0.004,0.980
36,-0.012,-0.008,0.984
37,-0.004,-0.004,0.988
38,0.004,0.004,0.977
39,-0.004,-0.008,0.984
40,-0.008,0.004,0.980
41,-0.004,0.000,0.988
42,-0.004,-0.004,0.984
43,-0.012,-0.004,0.984
44,-0.004,-0.004,0.980
45,0.000,-0.008,0.988
46,0.000,0.004,0.984
47,-0.004,-0.008,0.988
48,-0.008,-0.027,0.980
49,-0.016,-0.023,0.984
50,-0.008,0.027,0.977
51,-0.012,-0.027,0.984
52,-0.008,0.000,0.980
53,-0.004,0.008,0.984
54,-0.008,0.000,0.984
55,-0.008,-0.004,0.980
56,-0.012,-0.012,0.984
57,-0.016,-0.008,0.988
58,-0.004,-0.012,0.984
59,-0.004,0.000,0.980
60,-0.004,0.012,0.992
61,0.000,0.012,0.977
62,-0.012,0.004,0.980
63,-0.004,0.004,0.980
64,-0.008,0.000,0.973
65,0.000,-0.012,0.984
66,0.004,-0.008,0.984
67,-0.012,-0.004,0.980
68,-0.012,0.004,0.984
69,-0.004,0.000,0.988
70,-0.004,-0.004,0.984
71,-0.012,0.000,0.984
72,-0.008,-0.020,0.992
73,-0.004,-0.020,0.988
74,-0.008,0.012,0.988
75,-0.004,-0.016,0.992
76,-0.008,-0.008,0.984
77,-0.004,0.004,0.984
78,-0.008,-0.004,0.992
79,-0.016,0.000,0.984
80,-0.008,-0.012,0.984
81,-0.004,0.000,0.980
82,-0.008,-0.004,0.980
83,-0.004,0.000,0.984
84,-0.004,0.004,0.984
85,-0.008,-0.004,0.980
86,-0.008,0.035,0.977
87,-0.023,0.039,0.953
88,-0.051,-0.078,1.012
89,-0.027,-0.266,1.172
90,0.004,-0.234,1.145
91,-0.004,-0.008,0.898
92,-0.027,-0.082,0.832
93,-0.027,-0.328,1.020
94,0.039,-0.430,1.129
95,0.047,-0.391,1.098
96,0.043,-0.352,1.043
97,0.020,-0.422,0.969
98,0.035,-0.484,0.875
99,0.129,-0.570,0.914
100,0.188,-0.539,0.906
101,0.164,-0.586,0.961
102,0.086,-0.500,0.910
103,-0.066,-0.391,0.770
104,-0.090,-0.305,0.719
105,-0.051,-0.336,0.812
106,-0.098,-0.309,0.914
107,-0.234,-0.258,1.008
108,-0.336,-0.066,0.930
109,-0.324,0.184,0.703
110,-0.172,0.188,0.723
111,0.082,-0.141,1.141
112,0.285,-0.293,1.438
113,0.328,0.051,1.340
114,0.148,0.398,1.059
115,-0.230,0.309,0.992
116,-0.570,-0.176,1.305
117,-0.477,-0.367,1.375
118,0.102,-0.188,1.285
119,0.582,-0.141,1.094
120,0.801,-0.426,0.996
121,0.664,-0.422,0.836
122,0.012,-0.258,0.594
123,-0.570,-0.363,0.652
124,-0.891,-0.656,1.027
125,-0.801,-0.754,1.055
126,0.164,-0.645,0.945
127,1.367,-0.438,0.836
128,1.566,-0.105,0.574
129,0.324,-0.008,0.434
130,-1.527,-0.453,0.656
131,-1.988,-0.859,0.875
132,-0.680,-0.656,1.145
133,1.422,0.008,1.082
134,1.992,0.680,0.867
135,0.648,0.445,0.746
136,-1.750,-0.492,1.414
137,-1.965,-1.035,1.652
138,-0.348,-0.223,1.281
139,1.938,1.027,1.062
140,1.582,0.797,0.754
141,-0.438,-0.246,1.242
142,-1.301,-0.945,1.820
143,-1.137,-0.660,1.223
144,0.957,0.211,1.223
145,1.465,0.168,0.742
146,0.102,-0.457,0.414
147,-0.875,-0.680,0.809
148,-1.254,-0.777,0.602
149,-0.773,-0.645,0.348
150,0.773,-0.383,1.141
151,1.328,-0.188,0.824
152,0.688,-0.125,0.273
153,-0.520,-0.480,0.809
154,-0.793,-0.738,1.223
155,-0.039,-0.262,0.980
156,-0.047,0.070,0.969
157,0.031,-0.176,1.312
158,0.219,-0.074,1.219
159,-0.199,-0.090,0.863
160,-0.293,-0.336,1.320
161,0.410,-0.180,1.520
162,0.559,0.152,0.883
163,-0.031,-0.004,1.105
164,-0.551,-0.074,1.188
165,-0.523,0.023,0.684
166,0.066,-0.195,1.082
167,0.484,-0.371,1.496
168,0.418,0.059,0.965
169,-0.234,0.176,0.512
170,-0.688,-0.453,0.859
171,-0.246,-0.504,0.855
172,0.375,-0.227,0.609
173,0.637,-0.344,1.059
174,0.223,-0.391,1.180
175,-0.391,-0.344,0.770
176,-0.465,-0.492,0.773
177,-0.160,-0.461,0.859
178,0.363,-0.438,1.035
179,0.609,-0.383,1.172
180,-0.168,-0.367,1.066
181,-0.426,-0.273,0.957
182,-0.086,-0.285,0.840
183,0.188,-0.402,1.070
184,0.484,0.105,1.160
185,-0.125,-0.152,0.980
186,-0.496,-0.293,1.199
187,-0.305,-0.141,1.191
188,-0.043,-0.078,0.637
189,0.492,0.051,0.895
190,0.258,-0.105,1.086
191,-0.301,-0.203,0.961
192,-0.602,-0.195,0.844
193,-0.293,-0.152,0.871
194,0.336,-0.105,0.789
195,0.504,-0.016,0.789
196,0.375,-0.121,1.027
197,-0.113,-0.406,1.258
198,-0.230,-0.164,1.188
199,-0.203,-0.289,1.023
200,0.074,-0.113,0.941
201,0.203,-0.234,1.152
202,0.035,-0.270,1.012
203,-0.094,-0.332,1.066
204,-0.137,-0.051,0.859
205,-0.078,-0.133,0.723
206,0.059,-0.160,0.910
207,0.105,-0.184,0.945
208,0.000,0.082,0.797
209,0.031,0.152,0.879
210,0.156,0.066,1.016
211,0.137,0.105,0.883
212,-0.180,0.070,1.031
213,-0.145,0.266,0.941
214,-0.258,0.004,1.121
215,0.078,0.078,1.230
216,0.086,0.086,1.164
217,-0.199,0.402,0.664
218,-0.238,-0.133,1.273
219,0.016,-0.129,1.395
220,0.121,-0.094,1.219
221,0.414,0.152,1.062
222,0.336,-0.133,1.215
223,-0.090,-0.234,0.848
224,-0.285,-0.207,0.875
225,-0.289,-0.188,0.828
226,-0.164,-0.207,0.805
227,-0.043,-0.215,0.809
228,-0.117,-0.285,0.691
229,-0.016,-0.215,0.617
230,0.230,0.039,0.586
231,0.180,0.004,0.641
232,0.172,0.094,0.867
233,0.020,0.090,1.094
234,-0.188,0.137,1.047
235,-0.176,0.109,1.129
236,-0.055,0.117,1.281
237,0.258,0.199,1.402
238,0.375,0.336,1.215
239,0.148,0.184,1.160
240,-0.211,-0.039,1.270
241,-0.363,-0.109,1.285
242,-0.305,0.027,1.102
243,0.066,0.129,1.129
244,0.180,-0.016,1.047
245,-0.074,-0.160,0.980
246,-0.148,-0.188,0.895
247,-0.012,-0.121,0.727
248,0.152,-0.164,0.629
249,0.168,-0.207,0.715
250,0.051,-0.223,0.637
251,-0.039,-0.125,0.578
252,0.020,-0.203,0.672
253,0.020,-0.309,0.961
254,-0.090,-0.031,0.969
255,-0.168,0.223,0.809
256,-0.094,-0.117,1.109
257,0.039,-0.102,1.336
258,0.117,0.078,1.227
259,0.148,0.270,1.148
260,0.289,0.148,1.344
261,-0.035,-0.031,1.406
262,-0.172,0.082,1.246
263,-0.109,0.168,1.047
264,-0.086,0.172,0.938
265,-0.293,0.074,0.918
266,-0.410,0.125,0.727
267,-0.371,-0.109,0.723
268,0.078,0.090,0.875
269,0.375,0.184,0.781
270,0.445,0.094,0.691
271,0.453,0.066,1.012
272,0.277,0.020,0.945
273,0.117,-0.098,0.977
274,-0.117,-0.164,1.098
275,-0.270,-0.207,1.121
276,-0.180,-0.172,0.969
277,0.105,-0.230,1.023
278,-0.031,-0.332,1.004
279,-0.086,-0.234,1.109
280,-0.082,-0.254,1.012
281,-0.102,-0.105,0.910
282,-0.016,-0.133,1.047
283,-0.105,-0.160,1.066
284,-0.102,-0.023,0.953
285,0.008,0.172,0.898
286,0.098,0.098,0.867
287,-0.059,0.008,0.906
288,-0.301,0.016,0.848
289,-0.152,0.066,0.840
290,0.164,0.191,0.727
291,0.148,0.012,0.902
292,0.250,-0.059,1.211
293,0.191,0.250,0.992
294,0.156,0.273,0.852
295,0.031,-0.195,1.371
296,-0.270,0.117,1.305
297,-0.539,0.336,0.953
298,-0.281,-0.012,1.227
299,0.234,0.082,1.340
300,0.301,-0.176,1.203
301,0.496,0.043,1.207
302,0.391,0.016,1.055
303,0.051,-0.227,0.801
304,-0.129,-0.316,0.922
305,-0.371,-0.223,0.730
306,-0.371,-0.160,0.492
307,-0.027,-0.254,0.672
308,-0.145,-0.473,0.824
309,0.043,-0.270,0.680
310,0.082,0.074,0.496
311,-0.023,0.031,0.543
312,-0.078,-0.059,0.895
313,-0.277,0.004,1.098
314,-0.020,0.211,1.156
315,0.402,0.457,1.258
316,0.395,0.316,1.434
317,-0.062,0.066,1.566
318,-0.266,0.211,1.383
319,-0.199,0.199,1.258
320,-0.008,0.137,1.105
321,0.086,0.035,1.168
322,-0.043,0.051,0.957
323,-0.090,0.035,0.906
324,0.078,0.102,0.910
325,-0.117,-0.188,0.961
326,-0.023,-0.082,1.066
327,0.219,0.074,0.867
328,0.289,-0.043,0.625
329,0.020,-0.141,0.828
330,-0.309,0.043,0.676
331,-0.402,-0.137,0.582
332,0.012,-0.328,1.004
333,0.020,-0.215,0.859
334,-0.023,-0.145,0.777
335,0.297,0.129,0.859
336,0.273,-0.059,0.883
337,0.109,-0.051,1.066
338,-0.137,-0.035,1.336
339,-0.254,0.281,1.211
340,-0.109,0.184,1.203
341,0.117,0.023,1.371
342,0.051,0.008,1.277
343,0.105,0.242,1.082
344,0.133,0.289,0.918
345,-0.090,0.020,0.977
346,-0.379,-0.004,0.895
347,-0.492,0.121,0.848
348,-0.113,0.133,0.777
349,0.340,0.055,0.859
350,0.461,0.004,1.004
351,0.176,-0.113,0.953
352,0.012,0.078,0.711
353,-0.137,0.055,0.684
354,-0.172,-0.031,0.770
355,-0.203,-0.273,1.145
356,-0.043,0.039,1.027
357,0.125,0.051,0.996
358,0.281,-0.031,1.195
359,-0.012,-0.184,1.316
360,-0.094,-0.008,1.195
361,0.047,0.121,1.137
362,-0.078,0.375,0.766
363,-0.523,-0.320,1.203
364,-0.441,-0.219,1.305
365,-0.234,0.031,0.969
366,0.328,0.254,0.695
367,0.836,0.125,0.906
368,0.320,-0.168,0.828
369,0.043,-0.012,0.809
370,0.012,0.090,0.820
371,-0.156,0.246,0.590
372,-0.293,-0.121,1.047
373,-0.344,-0.176,1.125
374,-0.207,-0.043,0.969
375,0.273,0.258,0.801
376,0.133,-0.023,0.902
377,0.039,-0.109,1.094
378,-0.109,0.074,0.961
379,-0.227,0.168,0.941
380,-0.059,0.055,1.188
381,-0.059,-0.145,1.434
382,0.215,0.023,1.336
383,0.383,0.164,1.074
384,0.215,0.098,0.953
385,-0.191,-0.191,1.055
386,-0.383,-0.215,0.977
387,-0.273,0.008,0.789
388,0.023,0.156,0.633
389,0.000,-0.145,0.840
390,0.172,-0.164,1.074
391,0.137,0.055,0.926
392,0.254,0.297,0.734
393,0.176,-0.141,0.965
394,-0.273,0.145,0.980
395,-0.742,0.094,0.699
396,-0.406,-0.137,1.020
397,0.223,0.020,1.227
398,0.293,-0.098,1.141
399,0.293,-0.098,1.141
400,0.555,0.188,1.117
401,0.395,0.141,1.172
402,-0.008,0.027,0.809
403,-0.359,-0.234,1.254
404,-0.492,0.031,1.117
405,-0.652,0.066,0.938
406,-0.039,0.020,1.055
407,0.211,-0.176,1.090
408,0.332,-0.051,0.852
409,0.316,0.055,0.844
410,0.375,0.082,0.711
411,0.027,-0.102,0.711
412,-0.254,-0.078,0.906
413,-0.281,-0.004,0.883
414,-0.109,0.082,0.809
415,0.164,0.094,1.043
416,0.000,-0.074,1.082
417,-0.086,0.004,1.031
418,-0.066,0.148,0.934
419,-0.184,0.109,0.879
420,-0.082,0.078,1.066
421,0.094,0.039,1.258
422,0.035,0.113,1.270
423,0.258,0.266,1.203
424,0.148,0.059,1.285
425,-0.055,-0.082,1.188
426,-0.188,0.160,1.105
427,-0.117,0.352,0.559
428,-0.266,-0.391,1.004
429,-0.012,-0.176,1.246
430,0.027,-0.234,0.883
431,0.391,0.223,0.453
432,0.535,-0.008,0.875
433,-0.062,-0.289,0.789
434,-0.379,-0.273,0.957
435,-0.199,0.000,0.816
436,-0.180,-0.008,0.676
437,-0.004,-0.098,1.020
438,-0.086,-0.074,0.973
439,-0.340,0.035,0.770
440,-0.059,0.059,1.039
441,0.164,-0.102,1.180
442,0.035,0.090,1.035
443,0.203,0.203,1.113
444,0.363,0.215,1.129
445,0.223,0.160,1.105
446,-0.070,0.160,1.379
447,-0.250,0.078,1.254
448,-0.066,0.043,1.168
449,0.070,0.062,0.992
450,-0.016,-0.078,0.953
451,0.168,0.133,0.812
452,0.074,-0.016,0.777
453,0.090,-0.180,0.930
454,-0.254,-0.242,0.984
455,-0.523,-0.094,0.891
456,-0.441,-0.145,0.844
457,0.000,-0.230,0.930
458,0.223,-0.086,0.875
459,-0.062,0.234,0.508
460,-0.129,-0.438,1.109
461,0.227,-0.168,1.059
462,0.141,-0.137,0.891
463,0.215,0.141,0.984
464,0.383,0.039,1.102
465,-0.027,-0.113,1.023
466,-0.215,-0.082,1.195
467,-0.234,-0.012,1.121
468,-0.262,0.102,0.812
469,0.035,-0.125,1.246
470,0.195,0.160,0.891
471,-0.227,-0.043,0.762
472,-0.043,0.070,1.078
473,0.008,0.051,1.039
474,0.230,0.328,0.832
475,0.387,0.176,1.145
476,0.180,-0.074,1.195
477,0.031,-0.004,1.152
478,-0.004,0.160,0.969
479,-0.180,-0.059,0.816
480,-0.109,-0.203,0.988
481,0.102,-0.055,0.922
482,-0.207,-0.188,0.730
483,-0.086,0.008,0.902
484,-0.062,-0.230,1.000
485,-0.074,-0.207,0.992
486,0.012,0.031,1.051
487,0.020,0.020,0.910
488,0.027,-0.211,1.035
489,-0.094,-0.047,1.277
490,-0.246,0.168,0.852
491,-0.113,-0.121,0.969
492,0.199,-0.109,1.230
493,0.051,-0.156,1.031
494,0.113,0.043,0.793
495,0.078,-0.004,0.910
496,-0.078,-0.113,0.777
497,-0.152,-0.199,0.922
498,-0.090,0.090,0.891
499,-0.016,0.258,0.758
500,0.246,0.035,0.941
501,0.164,-0.090,1.207
502,-0.152,0.250,0.898
503,-0.164,0.168,0.914
504,0.223,0.113,1.062
505,0.051,-0.066,1.066
506,0.051,-0.066,1.066
507,0.020,0.031,1.180
508,0.207,0.309,1.145
509,0.180,0.281,0.805
510,-0.023,-0.176,1.211
511,-0.293,-0.312,1.461
512,-0.512,0.027,1.094
513,-0.145,0.062,0.832
514,0.250,-0.105,0.988
515,0.430,-0.297,1.109
516,0.262,-0.117,0.773
517,0.000,-0.094,0.793
518,0.039,-0.109,0.914
519,-0.305,-0.398,0.863
520,-0.441,-0.234,0.871
521,-0.172,-0.129,0.820
522,0.105,0.152,0.617
523,-0.113,-0.156,0.770
524,-0.008,-0.297,1.246
525,0.262,0.148,0.910
526,-0.012,0.094,0.773
527,0.148,0.145,0.980
528,-0.133,-0.148,1.223
529,-0.145,0.098,1.125
530,0.215,0.242,1.230
531,0.258,0.293,0.980
532,-0.047,-0.086,1.203
533,-0.191,-0.137,1.352
534,-0.273,0.215,0.836
535,0.074,0.180,0.734
536,0.117,-0.094,1.055
537,-0.074,-0.203,1.195
538,-0.039,0.094,0.891
539,0.176,0.168,0.844
540,0.277,-0.031,0.992
541,0.133,-0.125,1.117
542,0.016,-0.102,0.992
543,-0.074,0.023,0.680
544,0.016,-0.137,0.883
545,-0.152,-0.324,1.012
546,-0.285,-0.293,0.992
547,-0.066,0.031,0.762
548,0.180,-0.039,0.797
549,0.090,-0.312,0.992
550,-0.227,-0.266,1.129
551,-0.102,0.016,0.973
552,0.125,0.004,0.922
553,0.012,0.082,1.074
554,-0.258,0.070,1.027
555,-0.312,-0.203,1.230
556,0.266,0.168,1.234
557,0.371,-0.023,1.031
558,0.434,0.164,0.922
559,0.094,-0.086,1.109
560,-0.207,-0.090,0.781
561,-0.148,-0.020,0.730
562,-0.363,0.020,0.773
563,-0.328,-0.094,0.910
564,0.039,-0.090,1.043
565,0.352,0.121,0.848
