Sample,X,Y,Z
0,0.113,-0.012,0.609
1,0.000,-0.004,0.977
2,0.004,-0.004,0.977
3,0.000,-0.004,0.988
4,-0.008,-0.008,0.984
5,-0.008,-0.012,0.980
6,0.000,0.000,0.984
7,0.000,-0.008,0.980
8,0.000,-0.004,0.977
9,-0.008,-0.004,0.969
10,0.004,-0.008,0.984
11,0.000,-0.008,0.988
12,0.000,0.000,0.973
13,-0.008,-0.008,0.988
14,-0.004,-0.016,0.992
15,0.000,-0.016,0.980
16,0.004,-0.004,0.980
17,0.000,-0.008,0.984
18,-0.008,-0.004,0.984
19,0.000,-0.008,0.984
20,-0.012,0.000,0.980
21,-0.012,-0.012,0.984
22,-0.004,-0.012,0.992
23,0.000,-0.004,0.973
24,-0.004,-0.020,0.984
25,-0.004,0.008,0.980
26,-0.004,0.008,0.980
27,-0.008,-0.004,0.980
28,0.000,-0.012,0.984
29,0.000,0.008,0.980
30,-0.012,-0.020,0.980
31,-0.004,-0.008,0.980
32,-0.004,-0.016,0.980
33,-0.004,-0.008,0.980
34,0.000,-0.004,0.984
35,-0.008,-0.008,0.984
36,-0.008,-0.004,0.984
37,-0.012,-0.012,0.977
38,-0.004,-0.008,0.984
39,-0.004,-0.008,0.980
40,-0.004,0.004,0.988
41,0.000,0.004,0.977
42,0.000,-0.008,0.988
43,-0.004,0.000,0.980
44,-0.012,0.000,0.977
45,0.000,0.012,0.996
46,-0.004,-0.004,0.980
47,-0.004,-0.004,0.984
48,-0.012,-0.016,0.984
49,-0.004,-0.031,0.984
50,0.004,0.008,0.980
51,-0.004,-0.012,0.992
52,0.000,-0.016,0.980
53,0.000,-0.004,0.977
54,0.000,0.023,0.988
55,-0.004,0.000,0.988
56,-0.004,0.000,0.988
57,-0.012,0.004,0.980
58,-0.004,-0.008,0.988
59,0.000,0.000,0.984
60,-0.004,0.008,0.980
61,0.000,-0.008,0.984
62,-0.004,0.000,0.988
63,-0.008,-0.004,0.984
64,0.000,0.004,0.984
65,0.000,-0.004,0.980
66,0.000,0.004,0.988
67,0.000,-0.012,0.988
68,0.000,0.008,0.984
69,-0.004,-0.008,0.980
70,0.004,-0.008,0.984
71,-0.008,-0.008,0.984
72,-0.012,-0.023,0.992
73,0.000,-0.004,0.977
74,-0.008,-0.008,0.988
75,0.000,-0.012,0.984
76,0.008,0.023,0.973
77,-0.008,-0.008,0.973
78,-0.004,-0.004,0.984
79,-0.004,0.004,0.988
