Sample,X,Y,Z
0,-0.035,-0.035,0.750
1,-0.004,-0.004,0.984
2,0.004,0.000,0.988
3,-0.004,-0.016,0.988
4,0.000,-0.004,0.980
5,-0.004,-0.004,0.984
6,-0.004,0.000,0.980
7,0.000,0.004,0.980
8,-0.008,-0.008,0.977
9,-0.004,-0.008,0.984
10,-0.008,-0.004,0.984
11,-0.008,0.000,0.977
12,-0.008,0.004,0.980
13,-0.008,-0.004,0.984
14,-0.004,-0.004,0.980
15,-0.004,-0.008,0.984
16,-0.004,0.000,0.984
17,-0.008,-0.008,0.980
18,-0.004,0.004,0.980
19,-0.012,0.000,0.984
20,0.000,0.008,0.977
21,-0.008,-0.016,0.984
22,-0.004,0.000,0.980
23,-0.004,-0.004,0.984
24,0.000,-0.035,0.984
25,-0.008,0.012,0.977
26,-0.008,0.008,0.969
27,-0.023,-0.008,0.988
28,-0.012,0.000,0.984
29,0.000,-0.016,0.992
30,-0.008,0.000,0.984
31,0.000,-0.008,0.984
32,0.000,-0.012,0.984
33,-0.008,0.004,0.984
34,-0.012,0.000,0.984
35,-0.004,-0.004,0.977
36,-0.004,-0.008,0.996
37,-0.004,0.004,0.977
38,-0.012,-0.012,0.988
39,-0.008,-0.004,0.984
40,-0.008,0.012,0.988
41,-0.008,-0.004,0.988
42,-0.008,0.004,0.984
43,-0.008,-0.008,0.988
44,-0.008,-0.004,0.977
45,-0.012,0.008,0.984
46,0.000,0.000,0.992
47,-0.004,-0.008,0.984
48,0.000,-0.031,0.988
49,0.000,-0.023,0.980
50,0.000,-0.008,0.988
51,-0.004,-0.012,0.984
52,-0.008,-0.008,0.984
53,-0.004,-0.012,0.980
54,-0.004,0.004,0.980
55,-0.004,0.004,0.984
56,-0.012,-0.012,0.984
57,-0.008,-0.008,0.980
58,-0.004,-0.008,0.980
59,-0.008,-0.008,0.980
60,-0.004,-0.008,0.984
61,-0.008,0.000,0.984
62,-0.008,-0.004,0.973
63,-0.008,0.000,0.980
64,-0.008,0.000,0.977
65,-0.008,0.004,0.980
66,0.000,-0.004,0.984
67,-0.004,0.008,0.980
68,-0.004,-0.012,0.980
69,-0.008,0.004,0.980
70,0.000,0.004,0.977
71,0.004,-0.004,0.977
