Sample,X,Y,Z
0,-0.195,-0.047,0.605
1,-0.012,-0.012,0.996
2,-0.012,-0.012,0.996
3,-0.023,-0.008,0.984
4,-0.008,-0.004,0.996
5,0.000,0.004,0.992
6,-0.016,-0.004,0.996
7,-0.008,0.000,0.996
8,-0.020,0.000,0.996
9,-0.008,-0.004,1.004
10,-0.012,-0.004,0.996
11,-0.012,0.000,1.000
12,-0.012,-0.012,0.996
13,-0.008,-0.008,0.992
14,-0.016,-0.012,0.992
15,-0.008,-0.012,0.992
16,-0.016,-0.008,0.988
17,-0.008,0.000,0.996
18,-0.016,-0.020,0.988
19,-0.020,-0.016,0.988
20,-0.016,-0.020,0.996
21,-0.008,0.000,1.000
22,-0.027,-0.008,1.000
23,-0.016,-0.004,1.004
24,-0.023,-0.008,0.996
25,-0.020,-0.035,1.000
26,-0.016,0.004,1.008
27,-0.008,-0.016,0.996
28,-0.008,0.000,1.000
29,-0.016,-0.023,0.992
30,-0.027,-0.004,0.984
31,-0.016,-0.012,0.988
32,-0.016,-0.020,1.000
33,-0.012,0.000,0.996
34,-0.027,-0.008,1.000
35,-0.023,-0.004,0.988
36,-0.012,-0.020,0.996
37,-0.012,-0.016,1.000
38,-0.016,-0.012,0.984
39,-0.012,-0.016,0.988
40,-0.027,-0.016,0.992
41,-0.008,-0.016,0.996
42,-0.008,-0.020,0.996
43,-0.012,-0.004,0.996
44,-0.020,-0.016,0.984
45,-0.027,-0.016,1.000
46,-0.016,-0.012,0.992
47,-0.012,-0.027,1.000
48,-0.016,-0.027,0.984
49,-0.012,-0.016,0.996
50,-0.020,0.000,1.000
51,-0.027,-0.012,0.992
52,-0.012,-0.047,1.004
53,-0.012,0.004,1.000
54,-0.008,-0.012,0.996
55,-0.016,-0.020,1.004
56,-0.020,-0.020,0.984
57,-0.004,-0.016,0.988
58,-0.004,-0.012,0.992
59,-0.008,-0.008,0.992
60,-0.008,-0.023,0.996
61,-0.016,-0.016,1.000
62,-0.008,-0.016,0.992
63,-0.008,-0.012,0.996
64,-0.016,-0.012,0.992
65,-0.016,-0.023,0.996
66,-0.008,-0.008,0.992
67,-0.012,-0.012,0.992
68,-0.012,-0.023,0.992
69,-0.012,-0.004,0.984
70,-0.008,-0.020,0.996
71,-0.008,-0.008,0.992
72,-0.020,-0.016,0.996
73,-0.012,0.012,1.000
74,0.000,-0.027,0.992
75,-0.004,0.012,1.000
76,-0.016,0.000,0.988
77,-0.008,0.000,0.988
78,-0.020,-0.012,0.996
79,-0.016,-0.008,0.996
80,-0.004,-0.016,0.996
81,-0.004,-0.008,0.988
82,-0.012,-0.016,0.984
83,-0.008,-0.012,0.988
84,-0.008,-0.012,0.988
85,-0.008,-0.020,0.992
86,-0.008,-0.008,0.984
87,-0.023,-0.016,1.023
88,-0.027,0.051,1.039
89,-0.117,0.102,1.070
90,-0.523,-0.039,1.035
91,-1.129,-0.125,0.895
92,-1.250,-0.238,0.863
93,-0.613,-0.133,0.832
94,-0.273,0.055,0.883
95,-0.184,-0.035,1.062
96,-0.812,-0.176,1.090
97,-1.203,-0.055,1.062
98,-1.203,-0.055,1.062
99,-1.055,0.051,1.035
100,-0.793,0.074,1.062
101,-0.352,0.113,0.988
102,-0.293,0.070,0.941
103,-0.195,0.051,0.895
104,-0.062,-0.031,0.988
105,-0.016,0.016,1.035
106,-0.145,-0.090,1.133
107,-0.281,-0.141,1.184
108,-0.297,0.086,1.027
109,-0.391,0.102,0.918
110,-0.387,-0.020,0.945
111,-0.227,-0.133,0.980
112,-0.023,-0.215,1.062
113,0.117,-0.102,1.004
114,-0.023,0.105,0.719
115,-0.789,0.246,0.578
116,-1.562,-0.098,0.750
117,-1.562,-0.359,1.012
118,-0.676,-0.387,1.473
119,0.586,0.348,1.215
120,0.516,0.531,0.875
121,-0.613,0.195,0.988
122,-1.641,-0.246,0.895
123,-1.363,-0.285,1.168
124,-0.117,0.055,1.305
125,0.617,0.207,1.109
126,0.426,0.078,1.180
127,-0.445,0.133,0.770
128,-1.016,-0.047,0.777
129,-0.770,-0.305,1.012
130,0.012,-0.207,1.109
131,0.625,0.312,0.926
132,0.004,0.172,0.758
133,-0.906,-0.246,0.809
134,-1.164,-0.258,0.738
135,-0.492,-0.203,0.922
136,0.117,-0.094,1.094
137,-0.137,0.113,0.902
138,-0.809,0.059,0.926
139,-1.191,-0.141,0.863
140,-0.984,-0.129,1.000
141,-0.105,-0.051,1.402
142,0.531,0.168,1.344
143,0.105,0.352,1.109
144,-0.949,0.105,1.113
145,-1.195,0.066,0.949
146,-0.727,0.008,1.098
147,0.152,0.020,1.285
148,0.387,0.125,1.082
149,-0.141,0.039,1.039
150,-0.781,-0.059,0.750
151,-0.949,-0.133,0.695
152,-0.363,-0.195,0.957
153,0.016,-0.160,0.852
154,-0.129,-0.145,0.902
155,-0.770,-0.176,0.754
156,-0.980,-0.195,0.699
157,-0.527,0.020,0.859
158,0.031,0.062,1.012
159,0.020,0.027,1.129
160,-0.535,0.000,1.164
161,-1.066,0.043,0.988
162,-1.344,-0.078,0.984
163,-0.523,0.070,1.055
164,0.191,0.152,1.184
165,-0.039,0.250,1.285
166,-0.445,-0.125,1.301
167,-0.969,-0.016,0.984
168,-0.605,0.070,1.090
169,-0.051,0.141,0.930
170,0.133,0.078,0.910
171,0.086,-0.082,0.891
172,-0.230,-0.141,0.699
173,-0.297,-0.152,0.719
174,0.066,0.012,0.691
175,0.406,0.137,0.898
176,0.094,-0.148,1.133
177,-0.250,-0.301,1.062
178,-0.023,-0.113,1.172
179,0.477,0.109,1.059
180,0.676,0.191,1.039
181,0.605,0.176,1.086
182,-0.016,-0.047,1.105
183,-0.219,0.004,1.160
184,-0.191,-0.027,1.141
185,0.086,0.102,1.148
186,0.129,0.117,1.066
187,-0.051,-0.004,0.973
188,-0.102,-0.148,0.969
189,-0.336,0.016,0.781
190,0.078,0.113,0.867
191,-0.047,0.078,0.812
192,-0.387,-0.027,0.953
193,-0.684,-0.238,0.930
194,-0.496,-0.051,0.934
195,-0.031,0.117,0.906
196,0.152,0.051,0.941
197,0.137,0.043,0.977
198,-0.230,-0.105,0.934
199,-0.270,-0.145,1.000
200,-0.230,-0.117,0.984
201,0.094,0.031,0.957
202,0.320,0.176,1.043
203,0.098,0.066,1.078
204,0.168,-0.125,1.172
205,0.121,-0.070,1.184
206,0.285,0.148,1.172
207,0.273,0.090,1.031
208,-0.148,-0.035,1.113
209,-0.055,0.023,1.086
210,-0.125,-0.023,0.930
211,-0.051,-0.082,0.996
212,0.211,-0.016,0.957
213,0.086,0.148,0.727
214,-0.023,0.000,0.832
215,-0.117,-0.062,0.836
216,-0.258,-0.059,1.012
217,-0.301,-0.074,0.969
218,-0.316,-0.188,0.918
219,-0.203,0.004,0.984
220,-0.043,0.137,0.863
221,0.016,0.047,1.035
222,-0.043,-0.062,1.195
223,-0.168,-0.012,1.070
224,-0.020,-0.020,1.105
225,0.090,0.000,0.965
226,0.059,0.086,1.004
227,0.078,0.160,0.980
228,-0.082,-0.059,1.016
229,-0.164,-0.168,1.129
230,-0.129,-0.051,1.027
231,0.000,0.016,0.945
232,0.227,0.023,1.000
233,0.418,0.125,0.879
234,0.211,0.109,0.918
235,-0.180,-0.098,0.992
236,-0.223,-0.051,0.973
237,-0.195,0.152,0.973
238,-0.133,0.051,0.984
239,-0.098,-0.012,1.078
240,-0.109,0.051,0.969
241,-0.082,0.000,1.098
242,0.168,-0.184,1.129
243,0.172,0.020,0.934
244,0.164,0.266,0.852
245,0.023,0.016,0.938
246,-0.176,-0.164,1.121
247,-0.227,-0.074,1.121
248,-0.219,0.008,1.094
249,-0.105,-0.035,1.098
250,-0.008,0.109,0.910
251,0.297,0.082,0.922
252,0.301,-0.102,0.941
253,0.105,-0.234,0.992
254,-0.039,-0.066,0.895
255,-0.160,0.082,0.742
256,0.035,0.066,0.859
257,0.031,-0.027,0.961
258,0.004,-0.070,1.078
259,0.211,0.023,1.109
260,0.105,0.012,0.988
261,-0.027,0.047,1.008
262,-0.133,0.047,0.910
263,-0.090,-0.059,1.086
264,0.113,-0.031,1.184
265,0.070,0.016,1.133
266,0.070,0.016,1.133
267,0.117,0.105,1.094
268,-0.113,0.070,0.891
269,-0.285,0.078,0.934
270,-0.121,-0.105,1.055
271,0.180,-0.039,1.051
272,0.184,0.016,1.004
273,-0.117,-0.008,0.973
274,-0.324,-0.047,0.883
275,-0.348,-0.043,0.879
276,0.059,-0.047,0.965
277,0.406,-0.023,1.008
278,0.430,0.016,1.023
279,0.059,0.008,0.859
280,-0.383,-0.121,0.777
281,-0.191,-0.051,0.902
282,0.043,-0.016,0.941
283,0.262,-0.043,1.141
284,0.242,0.000,1.152
285,-0.109,-0.004,1.113
286,-0.367,-0.004,1.012
287,-0.176,0.082,0.953
288,0.301,0.156,1.098
289,0.363,0.145,1.148
290,0.074,-0.004,1.148
291,-0.152,0.027,1.109
292,-0.383,0.074,0.863
293,-0.168,-0.016,0.953
294,0.254,-0.086,1.086
295,0.371,0.090,0.918
296,0.148,-0.027,1.055
297,-0.090,-0.129,0.859
298,-0.219,-0.035,0.875
299,0.062,0.055,0.844
300,0.445,0.016,0.895
301,0.277,-0.020,1.039
302,0.000,0.000,0.977
303,-0.262,-0.039,0.922
304,-0.531,-0.113,0.957
305,0.078,0.008,0.969
306,0.363,0.070,1.031
307,0.145,-0.062,1.125
308,0.012,-0.051,1.133
309,-0.238,0.043,1.000
310,-0.445,0.023,1.012
311,-0.102,-0.020,1.027
312,0.164,0.094,1.090
313,0.082,0.082,1.113
314,-0.012,-0.102,1.113
315,-0.266,-0.078,1.031
316,-0.199,0.082,0.844
317,0.074,0.051,0.812
318,0.172,-0.191,1.035
319,0.297,-0.012,0.984
320,0.098,0.023,0.941
321,-0.141,-0.059,0.957
322,-0.211,-0.129,0.988
323,0.023,-0.012,0.906
324,0.402,0.062,0.945
325,0.277,-0.074,1.070
326,0.031,-0.137,1.020
327,-0.219,-0.074,0.852
328,-0.215,-0.062,0.926
329,0.168,-0.023,0.926
330,0.238,0.043,1.012
331,0.250,0.074,1.098
332,0.188,0.035,1.148
333,-0.164,-0.012,1.074
334,-0.445,0.043,0.977
335,-0.203,-0.031,1.012
336,-0.113,-0.039,0.996
337,0.062,0.062,1.059
338,0.215,-0.035,1.016
339,-0.031,-0.047,0.992
340,-0.117,0.047,0.902
341,-0.102,0.039,0.914
342,-0.090,-0.105,1.074
343,-0.121,-0.055,0.973
344,-0.203,-0.020,1.031
345,-0.109,0.047,0.957
346,-0.031,-0.070,0.957
347,-0.004,0.023,1.008
348,-0.004,0.039,0.973
349,-0.086,-0.117,1.055
350,-0.102,-0.047,0.988
351,-0.059,-0.004,0.902
352,0.078,-0.023,0.977
353,0.176,-0.043,0.934
354,0.234,0.027,0.977
355,0.094,-0.051,0.957
356,0.164,0.035,1.004
357,0.059,0.023,1.031
358,-0.109,0.062,1.086
359,-0.059,-0.102,1.168
360,-0.219,-0.137,1.086
361,-0.059,0.000,1.074
362,0.219,0.137,0.855
363,0.332,0.043,0.910
364,0.043,0.023,0.957
365,-0.344,-0.109,1.000
366,-0.312,-0.117,0.992
367,-0.195,-0.016,0.945
368,0.020,0.051,0.957
369,0.102,0.012,0.922
370,0.000,-0.090,1.027
371,-0.141,-0.141,1.066
372,-0.109,-0.090,0.977
373,-0.125,0.031,0.934
374,-0.031,0.094,0.922
375,-0.012,-0.027,0.965
376,-0.141,-0.051,1.098
