Sample,X,Y,Z
0,0.012,-0.070,0.637
1,-0.016,-0.008,0.996
2,-0.016,-0.020,1.000
3,-0.016,-0.027,0.992
4,-0.012,-0.004,0.992
5,-0.016,-0.012,0.988
6,-0.020,-0.012,0.992
7,-0.016,-0.016,0.996
8,-0.020,-0.016,1.000
9,-0.016,-0.016,1.000
10,-0.016,-0.012,1.000
11,-0.020,-0.012,1.000
12,-0.016,-0.008,0.992
13,-0.012,-0.012,1.000
14,-0.012,-0.004,1.000
15,-0.008,-0.016,0.992
16,-0.016,-0.004,0.988
17,-0.020,-0.004,0.988
18,-0.008,-0.020,0.992
19,-0.023,-0.016,1.000
20,-0.023,-0.012,0.996
21,-0.020,-0.012,0.992
22,-0.012,-0.012,0.996
23,-0.008,-0.012,0.996
24,-0.020,-0.035,0.996
25,-0.016,0.008,0.984
26,-0.016,-0.004,0.996
27,-0.008,-0.008,0.988
28,-0.004,-0.012,0.984
29,-0.012,0.008,0.996
30,-0.012,-0.008,0.988
31,-0.008,-0.004,0.992
32,-0.012,-0.008,1.000
33,-0.008,-0.016,1.000
34,-0.008,-0.008,1.000
35,-0.016,-0.008,0.996
36,-0.020,-0.004,1.000
37,-0.023,-0.012,1.000
38,-0.008,-0.012,0.992
39,-0.012,-0.012,1.000
40,-0.012,-0.020,0.992
41,-0.020,-0.016,0.996
42,-0.012,-0.016,1.004
43,-0.012,-0.012,0.988
44,-0.012,-0.012,0.988
45,-0.008,-0.012,0.992
46,-0.023,-0.016,0.984
47,-0.016,-0.012,0.988
48,-0.020,-0.035,0.992
49,-0.016,0.008,0.988
50,-0.012,-0.020,1.000
51,-0.004,-0.008,0.996
52,-0.023,-0.012,0.992
53,-0.020,-0.039,1.004
54,-0.012,-0.012,0.996
55,-0.016,-0.004,0.992
56,-0.004,-0.012,0.996
57,-0.016,-0.016,0.996
58,-0.016,-0.012,0.996
59,-0.012,-0.016,0.992
60,-0.008,-0.016,0.996
61,-0.004,-0.004,0.992
62,-0.008,-0.016,0.996
63,-0.016,-0.012,0.996
64,-0.008,-0.023,0.992
65,-0.008,-0.012,0.988
66,-0.008,-0.016,0.992
67,-0.012,-0.012,0.996
68,-0.012,-0.012,0.996
69,-0.016,-0.020,0.992
70,-0.012,-0.012,0.984
71,-0.008,-0.008,0.992
72,-0.020,-0.035,0.996
73,-0.008,0.004,0.988
74,-0.016,-0.027,0.996
75,-0.004,-0.004,1.000
76,-0.012,0.004,1.000
77,-0.004,-0.023,0.996
78,-0.008,-0.008,0.992
79,-0.016,-0.016,0.996
80,-0.012,-0.012,1.000
81,-0.004,-0.004,0.996
82,-0.004,-0.020,1.000
83,-0.012,-0.004,0.992
84,-0.012,-0.012,0.992
85,-0.004,-0.008,0.992
86,-0.004,0.000,0.977
87,-0.004,-0.055,1.008
88,0.012,-0.207,1.082
89,0.012,-0.387,1.180
90,0.016,-0.414,1.145
91,0.047,-0.391,1.039
92,0.102,-0.430,0.996
93,0.148,-0.590,1.059
94,0.156,-0.742,1.145
95,0.094,-0.770,1.117
96,-0.066,-0.762,0.977
97,-0.156,-0.719,0.844
98,-0.344,-0.852,0.754
99,-0.504,-0.852,0.598
100,-0.004,-0.902,0.719
101,0.418,-0.848,0.758
102,0.645,-0.641,0.895
103,0.332,-0.352,0.773
104,-0.715,-0.156,0.629
105,-1.020,-0.270,0.898
106,-0.832,-0.441,1.078
107,-0.164,-0.430,1.340
108,0.621,-0.242,1.191
109,1.137,-0.023,1.031
110,0.852,0.316,0.973
111,-0.344,0.289,0.938
112,-1.422,-0.152,1.199
113,-1.781,-0.812,1.496
114,-0.352,-0.695,1.699
115,1.695,0.039,1.387
116,1.992,0.668,0.953
117,0.719,0.234,0.797
118,-1.672,-1.027,1.012
119,-1.949,-1.562,1.117
120,-0.371,-0.824,1.160
121,1.730,-0.039,0.707
122,1.855,-0.172,0.293
123,0.617,-0.707,0.934
124,-0.898,-0.879,0.562
125,-1.707,-1.055,0.555
126,-0.574,-1.051,1.059
127,0.914,-0.492,0.926
128,1.434,0.020,0.480
129,0.070,-0.262,1.051
130,-0.672,-0.926,0.934
131,-0.758,-0.656,1.008
132,-0.008,-0.160,1.281
133,0.238,-0.070,1.133
134,0.074,-0.012,1.137
135,-1.105,-0.328,1.301
136,-0.551,-0.461,1.227
137,0.371,-0.043,1.238
138,0.535,0.289,0.977
139,0.387,-0.020,1.191
140,-0.465,-0.340,0.992
141,-1.086,-0.422,1.004
142,-0.148,-0.180,1.078
143,0.754,-0.117,0.762
144,0.793,-0.191,0.836
145,0.359,-0.484,0.934
146,-0.508,-0.500,0.773
147,-0.602,-0.570,0.922
148,0.176,-0.543,0.953
149,0.844,-0.508,1.078
150,0.398,-0.395,0.816
151,-0.020,-0.699,0.977
152,-0.129,-0.617,0.828
153,-0.230,-0.586,1.027
154,0.191,-0.461,1.051
155,0.215,-0.449,1.098
156,-0.438,-0.578,1.086
157,-0.785,-0.664,1.016
158,-0.148,-0.457,0.910
