Sample,X,Y,Z
0,-0.062,-0.023,0.648
1,-0.016,-0.008,0.996
2,-0.020,0.004,0.996
3,-0.016,0.000,0.988
4,-0.020,-0.016,1.000
5,-0.020,-0.020,1.000
6,-0.008,-0.008,0.988
7,-0.008,-0.004,0.996
8,-0.012,-0.016,1.000
9,-0.016,0.000,0.992
10,-0.023,-0.012,1.004
11,-0.012,-0.016,0.996
12,-0.020,-0.016,0.996
13,-0.008,-0.012,0.996
14,-0.023,-0.012,0.996
15,-0.020,-0.016,1.000
16,-0.012,-0.012,0.992
17,-0.016,0.004,0.992
18,-0.008,-0.012,1.000
19,-0.012,-0.012,1.000
20,-0.016,-0.020,0.996
21,-0.016,-0.016,0.996
22,0.000,-0.008,0.984
23,-0.004,-0.016,1.004
24,-0.016,-0.023,0.996
25,-0.016,-0.020,1.000
26,-0.020,0.004,1.000
27,0.000,-0.020,1.008
28,-0.016,-0.016,0.996
29,-0.016,-0.027,0.996
30,-0.016,-0.012,1.004
31,-0.016,-0.004,0.992
32,-0.012,-0.012,1.000
33,-0.004,-0.004,1.000
34,-0.023,-0.008,0.992
35,-0.023,-0.008,1.000
36,-0.012,-0.008,0.992
37,-0.008,-0.016,0.996
38,0.008,-0.008,0.992
39,-0.012,-0.008,1.000
40,-0.020,-0.008,1.004
41,-0.016,-0.020,0.996
42,-0.012,-0.008,0.992
43,-0.008,0.000,0.996
44,-0.012,-0.008,0.996
45,-0.023,-0.012,0.996
46,-0.012,-0.016,0.992
47,-0.008,-0.016,0.996
48,-0.008,-0.012,0.996
49,-0.012,-0.012,1.004
50,-0.023,0.000,0.992
51,-0.020,-0.023,1.000
52,-0.012,-0.016,0.996
53,-0.012,-0.008,1.000
54,-0.004,-0.008,1.004
55,-0.012,-0.012,0.992
56,-0.016,-0.020,1.000
57,-0.016,-0.008,0.988
58,-0.004,-0.012,0.992
59,-0.012,-0.016,0.996
60,-0.012,-0.020,0.992
61,-0.016,-0.020,0.996
62,-0.020,-0.012,1.000
63,-0.016,-0.012,0.992
64,-0.008,-0.012,0.996
65,-0.012,-0.012,1.004
66,-0.016,-0.004,0.992
67,-0.023,-0.020,0.996
68,0.000,-0.008,0.996
69,0.004,-0.016,0.992
70,-0.008,-0.012,0.996
71,-0.008,-0.016,0.992
72,-0.016,-0.012,0.992
73,-0.020,-0.004,0.992
74,-0.008,0.000,1.000
75,0.004,-0.031,1.000
76,-0.016,-0.031,0.992
77,-0.012,-0.008,0.988
78,-0.008,-0.008,0.992
79,-0.008,-0.020,0.992
80,-0.004,-0.023,1.000
81,-0.016,-0.004,0.996
82,-0.012,-0.016,0.988
83,-0.008,-0.016,1.004
84,-0.004,-0.004,0.992
85,0.000,-0.008,0.992
86,-0.004,-0.004,0.996
87,-0.027,-0.020,1.004
88,-0.016,0.031,1.035
89,-0.102,0.086,1.055
90,-0.410,0.070,1.059
91,-0.863,-0.113,0.984
92,-1.051,-0.141,0.797
93,-0.609,-0.164,0.895
94,-0.066,0.004,0.871
95,-0.008,0.070,0.977
96,-0.453,-0.121,1.078
97,-1.074,-0.121,1.105
98,-0.961,0.000,1.070
99,-0.594,0.039,1.086
100,-0.109,0.098,1.070
101,-0.074,0.074,0.906
102,-0.395,-0.012,0.844
103,-0.406,-0.047,0.848
104,-0.176,0.016,0.914
105,0.070,0.102,1.094
106,-0.016,-0.008,1.172
107,-0.496,-0.223,1.215
108,-0.594,-0.230,1.090
109,-0.055,0.051,0.914
110,0.336,0.250,0.855
111,0.117,0.152,0.879
112,-0.477,-0.047,0.914
113,-0.867,-0.273,1.004
114,-0.613,-0.301,1.039
115,0.082,-0.070,1.031
116,0.309,0.301,0.879
117,-0.375,0.367,0.766
118,-1.383,-0.055,0.945
119,-1.586,-0.305,1.082
120,-0.605,-0.320,1.363
121,0.867,0.176,1.352
122,1.109,0.512,0.914
123,-0.316,0.379,0.746
124,-1.742,-0.301,0.844
125,-1.848,-0.676,1.074
126,-0.195,-0.297,1.410
127,1.312,0.457,1.020
128,1.203,0.480,0.781
129,-0.371,-0.008,0.871
130,-1.652,-0.469,0.801
131,-1.129,-0.309,0.930
132,0.188,0.070,1.059
133,0.840,0.223,0.969
134,0.375,0.082,0.980
135,-0.879,0.082,0.660
136,-1.641,-0.258,0.781
137,-1.086,-0.371,1.086
138,0.352,0.004,1.246
139,0.941,0.535,1.137
140,0.148,0.285,1.086
141,-1.219,-0.242,1.105
142,-1.605,-0.188,0.996
143,-0.652,-0.059,1.066
144,0.375,0.000,1.148
145,0.453,0.234,1.039
146,-0.012,0.219,0.992
147,-0.707,-0.121,0.910
148,-0.910,-0.332,1.031
149,-0.340,-0.023,0.965
150,0.309,0.047,1.012
151,0.465,0.156,0.883
152,-0.402,0.059,0.836
153,-0.660,-0.141,0.859
154,-0.664,-0.133,0.773
155,-0.711,-0.211,1.043
156,-0.199,-0.062,0.977
157,-0.117,0.160,0.770
158,-0.238,0.082,1.176
159,-0.230,-0.023,1.055
160,-0.629,0.027,1.023
161,-0.836,-0.125,1.266
162,-0.879,-0.027,1.043
163,-0.531,0.020,1.121
164,-0.105,0.145,1.141
165,0.145,0.234,1.008
166,-0.020,-0.035,1.219
167,-0.629,-0.078,0.984
168,-0.594,0.062,0.891
169,-0.324,0.012,0.859
170,-0.180,0.109,0.793
171,0.004,-0.090,0.980
172,0.145,0.008,0.910
173,-0.223,-0.090,0.855
174,-0.625,-0.133,0.867
175,-0.500,-0.059,0.914
176,-0.332,-0.027,1.012
177,-0.062,-0.031,1.102
178,-0.172,-0.090,1.047
179,-0.523,-0.031,1.027
180,-0.633,0.051,0.820
181,-0.473,0.078,0.898
182,-0.355,0.094,1.043
183,-0.168,0.031,1.242
184,-0.344,0.137,1.156
185,-0.781,-0.012,1.203
186,-0.785,0.055,1.059
187,-0.578,0.016,1.016
188,-0.273,0.059,0.945
189,-0.062,0.031,1.027
190,-0.172,-0.023,0.996
191,-0.418,-0.086,0.844
192,-0.426,-0.020,0.895
193,-0.289,0.004,0.922
194,-0.297,-0.117,0.965
195,0.125,-0.039,1.008
196,0.332,0.086,0.910
197,0.262,-0.051,0.984
198,-0.039,-0.074,0.875
199,0.031,-0.105,0.914
200,0.242,-0.039,1.090
201,0.449,0.141,1.062
202,0.777,0.078,1.031
203,0.367,-0.016,1.082
204,0.090,0.012,0.934
205,-0.020,-0.082,1.020
206,-0.137,-0.008,1.043
207,-0.059,0.039,1.094
208,0.004,0.027,1.148
209,-0.070,0.086,1.012
210,-0.328,0.012,1.004
211,-0.133,-0.062,1.027
212,-0.035,0.105,0.871
213,-0.012,0.055,0.930
214,-0.316,-0.078,0.883
215,-0.453,-0.090,0.957
216,-0.492,0.035,0.953
217,-0.449,-0.004,1.066
218,-0.316,-0.051,0.992
219,-0.316,-0.102,1.094
220,0.062,0.055,1.004
221,0.086,-0.031,0.957
222,0.176,-0.023,0.984
223,0.297,0.102,0.824
224,0.066,0.031,1.039
225,-0.035,-0.176,1.008
226,-0.227,-0.148,1.020
227,0.098,-0.008,1.102
228,0.262,0.055,0.852
229,0.355,-0.047,1.113
230,0.375,0.043,0.941
231,0.062,0.008,0.883
232,0.164,-0.027,1.078
233,-0.098,-0.008,0.965
234,-0.020,0.137,1.008
235,0.066,0.078,1.047
236,-0.098,0.035,0.930
237,0.004,0.082,1.008
