Sample,X,Y,Z
0,0.059,-0.012,0.730
1,-0.020,-0.004,0.988
2,-0.016,-0.012,0.992
3,-0.012,-0.004,0.988
4,-0.016,-0.012,1.004
5,-0.016,-0.004,0.992
6,-0.012,-0.004,1.000
7,-0.020,-0.016,0.992
8,-0.004,0.000,0.996
9,-0.004,-0.012,1.000
10,-0.016,0.012,0.996
11,-0.012,-0.012,1.000
12,-0.020,-0.004,0.996
13,-0.020,-0.016,0.996
14,-0.008,-0.008,0.992
15,-0.016,-0.020,0.996
16,-0.020,-0.016,0.984
17,-0.020,-0.020,1.000
18,-0.020,-0.012,0.988
19,-0.004,-0.008,0.996
20,-0.008,-0.008,0.988
21,-0.012,-0.012,0.996
22,-0.016,-0.020,1.004
23,-0.027,-0.012,0.992
24,-0.027,-0.008,0.980
25,-0.020,-0.008,1.000
26,-0.008,-0.020,1.000
27,-0.004,-0.004,0.992
28,-0.020,-0.012,0.996
29,-0.020,-0.020,0.996
30,-0.016,-0.020,0.992
31,-0.012,-0.012,0.988
32,-0.004,-0.016,1.000
33,-0.012,-0.012,0.988
34,-0.020,-0.012,0.992
35,-0.016,-0.004,1.000
36,-0.016,-0.004,0.996
37,-0.016,-0.016,0.992
38,-0.016,-0.023,0.996
39,-0.012,-0.012,0.992
40,-0.008,-0.020,0.992
41,-0.012,-0.016,0.992
42,-0.004,-0.012,1.000
43,-0.016,-0.016,0.992
44,-0.016,0.004,0.996
45,-0.008,-0.016,0.988
46,-0.012,-0.008,1.000
47,-0.004,-0.004,0.988
48,-0.020,-0.020,0.996
49,-0.016,-0.020,1.000
50,-0.016,-0.020,1.000
51,-0.016,-0.023,0.992
52,-0.012,-0.027,0.996
53,-0.004,-0.020,1.000
54,0.000,0.020,1.004
55,-0.012,-0.012,1.004
56,-0.008,-0.008,0.992
57,-0.016,-0.008,0.996
58,-0.008,-0.016,0.996
59,-0.004,-0.016,1.000
60,-0.008,-0.008,0.992
61,-0.008,-0.020,0.992
62,-0.008,-0.016,1.000
63,-0.016,0.000,0.988
64,-0.012,-0.008,0.996
65,-0.012,-0.004,0.988
66,-0.016,-0.008,0.992
67,-0.012,-0.004,0.992
68,-0.004,0.000,0.988
69,-0.008,0.000,1.000
70,-0.016,-0.008,0.992
71,-0.008,-0.004,1.000
72,-0.008,-0.008,0.996
73,-0.012,-0.051,1.000
74,-0.023,0.000,1.000
75,-0.012,0.004,0.992
76,-0.016,0.008,0.992
77,-0.012,-0.004,0.988
78,-0.016,-0.004,1.000
79,-0.012,-0.008,0.996
80,-0.012,-0.012,0.988
81,-0.004,-0.020,1.004
82,-0.008,-0.004,0.992
83,-0.004,-0.004,0.984
84,-0.020,-0.012,0.992
85,-0.012,-0.004,0.996
