Sample,X,Y,Z
0,0.094,-0.008,0.633
1,-0.012,-0.016,0.996
2,-0.016,-0.012,1.000
3,-0.020,-0.008,0.992
4,-0.012,-0.008,0.996
5,-0.016,-0.016,0.996
6,-0.016,-0.008,0.992
7,-0.012,-0.023,0.996
8,-0.012,-0.004,0.988
9,-0.012,-0.008,0.996
10,-0.016,-0.008,1.008
11,-0.012,-0.008,0.996
12,-0.020,-0.012,1.004
13,-0.016,-0.008,1.000
14,-0.012,-0.008,1.004
15,-0.012,-0.008,0.996
16,-0.008,-0.012,0.996
17,-0.008,-0.020,0.992
18,-0.012,-0.008,0.988
19,-0.008,-0.008,0.992
20,-0.008,-0.012,0.992
21,-0.016,-0.016,0.996
22,-0.004,-0.016,1.004
23,-0.016,0.004,0.992
24,-0.016,-0.031,1.004
25,-0.004,-0.008,0.992
26,-0.004,-0.008,0.992
27,-0.004,-0.008,0.996
28,-0.023,-0.023,0.996
29,-0.012,-0.012,0.996
30,-0.008,-0.008,1.008
31,0.000,-0.008,1.000
32,-0.012,-0.004,0.992
33,-0.016,-0.020,0.992
34,-0.016,-0.004,0.992
35,-0.012,-0.008,0.996
36,-0.020,0.000,0.988
37,-0.008,-0.012,1.000
38,-0.016,-0.020,0.996
39,-0.016,-0.008,0.992
40,-0.020,-0.004,0.992
41,-0.020,-0.016,0.992
42,-0.012,-0.012,1.000
43,-0.012,-0.012,1.000
44,-0.008,-0.012,1.004
45,-0.016,-0.023,1.004
46,-0.016,-0.008,0.992
47,-0.008,-0.027,1.004
48,-0.020,-0.012,0.992
49,-0.008,-0.004,0.996
50,-0.020,0.000,1.004
51,-0.012,-0.012,0.988
52,-0.020,-0.023,0.992
53,-0.020,-0.008,1.000
54,-0.020,-0.008,1.008
55,-0.012,-0.020,1.000
56,-0.020,-0.012,1.000
57,-0.008,-0.020,1.004
58,-0.008,-0.008,0.988
59,-0.012,-0.020,1.000
60,-0.012,-0.016,0.988
61,-0.008,-0.012,0.988
62,-0.012,-0.016,0.996
63,-0.004,-0.020,0.992
64,-0.012,-0.012,1.004
65,-0.012,-0.016,1.000
66,-0.008,-0.012,0.992
67,-0.016,-0.012,1.008
68,-0.012,-0.008,0.996
69,-0.012,-0.016,1.004
70,-0.016,-0.016,1.008
71,-0.012,-0.008,1.008
72,-0.004,-0.031,1.004
73,-0.004,-0.035,1.000
74,-0.004,-0.035,1.000
75,0.000,0.004,0.992
76,0.000,-0.004,1.000
77,-0.008,-0.008,1.004
78,-0.004,0.012,0.992
79,-0.008,-0.012,1.000
80,-0.008,-0.008,0.996
81,-0.008,-0.008,0.996
82,-0.008,-0.008,0.996
83,-0.023,-0.016,0.996
84,-0.004,-0.008,0.992
85,-0.008,-0.012,0.992
86,-0.008,-0.008,0.996
87,-0.016,-0.008,0.992
88,-0.012,-0.012,0.996
89,-0.023,-0.004,0.992
90,-0.016,0.008,1.035
91,-0.055,0.078,1.055
92,-0.293,0.062,1.082
93,-0.699,-0.074,1.012
94,-1.059,-0.121,0.879
95,-0.922,-0.168,0.824
96,-0.262,-0.059,0.859
97,-0.125,0.074,0.938
98,-0.125,0.074,0.938
99,-0.289,-0.031,1.105
100,-0.891,-0.148,1.035
101,-1.102,-0.059,1.078
102,-0.730,0.043,1.047
103,-0.379,0.102,1.023
104,-0.098,0.125,0.949
105,-0.363,0.004,0.891
106,-0.367,-0.023,0.855
107,-0.195,0.020,0.922
108,0.000,0.074,1.074
109,-0.016,-0.016,1.184
110,-0.414,-0.219,1.211
111,-0.469,-0.129,1.129
112,-0.184,0.086,0.887
113,0.090,0.184,0.902
114,-0.008,0.062,0.949
115,-0.305,-0.055,0.953
116,-0.496,-0.227,1.098
117,-0.426,-0.266,1.012
118,0.000,0.043,0.910
119,-0.039,0.336,0.660
120,-0.805,0.172,0.688
121,-1.301,-0.223,1.000
122,-1.215,-0.434,1.211
123,-0.086,-0.141,1.383
124,0.828,0.445,1.066
125,0.277,0.598,0.824
126,-1.027,0.000,0.934
127,-1.828,-0.539,1.016
128,-0.953,-0.434,1.387
129,0.551,0.207,1.188
130,1.055,0.473,0.879
131,0.172,0.195,0.973
132,-1.184,-0.270,0.832
133,-1.293,-0.234,0.879
134,-0.449,-0.133,1.078
135,0.492,0.004,1.098
136,0.742,0.223,1.020
137,-0.156,0.355,0.629
138,-1.480,-0.180,0.707
139,-1.559,-0.609,0.961
140,-0.359,-0.164,1.043
141,0.754,0.387,1.008
142,0.660,0.195,1.098
143,-0.496,-0.023,1.059
144,-1.465,-0.141,0.957
145,-1.270,-0.230,1.047
146,-1.270,-0.230,1.047
147,-0.281,-0.180,1.223
148,0.523,0.254,1.133
149,0.547,0.285,1.121
150,-0.238,0.070,1.039
151,-1.148,-0.070,0.949
152,-0.961,-0.219,1.035
153,-0.094,-0.031,1.086
154,0.336,0.172,0.941
155,0.324,0.172,0.957
156,-0.324,0.160,0.809
157,-1.145,-0.242,0.844
158,-0.980,-0.320,0.863
159,-0.406,-0.023,0.812
160,0.047,-0.016,1.031
161,0.164,0.059,0.938
162,-0.512,0.059,0.777
163,-0.992,-0.258,1.086
164,-0.895,-0.188,0.922
165,-0.410,-0.094,1.129
166,0.121,0.094,1.164
167,-0.004,0.219,1.035
