Sample,X,Y,Z
0,0.109,-0.031,0.672
1,-0.012,-0.004,1.008
2,-0.016,-0.016,1.000
3,-0.012,-0.004,1.004
4,-0.023,-0.012,0.996
5,-0.020,-0.004,0.996
6,-0.008,-0.004,0.988
7,-0.016,-0.020,1.000
8,-0.012,-0.020,1.008
9,-0.016,-0.016,1.000
10,-0.016,-0.012,0.996
11,-0.012,0.000,0.988
12,-0.004,-0.016,1.000
13,-0.008,-0.004,0.992
14,-0.008,-0.008,0.992
15,-0.012,-0.004,0.996
16,-0.023,-0.016,0.992
17,-0.016,-0.004,0.992
18,-0.012,-0.016,0.996
19,-0.008,-0.012,1.004
20,-0.012,-0.004,0.992
21,-0.012,-0.008,1.000
22,-0.012,-0.008,1.000
23,-0.020,-0.016,0.996
24,-0.023,-0.023,0.996
25,-0.008,0.012,0.996
26,-0.016,-0.031,1.000
27,-0.016,0.004,0.988
28,-0.020,0.000,0.996
29,-0.012,-0.020,1.000
30,-0.008,-0.016,0.996
31,-0.012,-0.023,0.996
32,-0.020,-0.020,0.996
33,-0.016,-0.008,1.004
34,-0.008,-0.012,0.996
35,-0.016,-0.008,0.992
36,-0.008,-0.012,1.000
37,-0.012,-0.004,0.992
38,-0.020,-0.008,1.004
39,-0.016,-0.016,0.996
40,-0.008,-0.004,0.996
41,-0.016,-0.012,1.004
42,-0.020,-0.012,0.996
43,-0.016,-0.012,0.996
44,-0.008,-0.012,0.996
45,-0.004,-0.008,1.004
46,-0.004,-0.008,0.996
47,-0.012,-0.008,1.000
48,-0.023,-0.047,1.008
49,-0.004,-0.039,0.984
50,-0.016,-0.023,1.008
51,-0.008,-0.012,1.000
52,0.000,0.000,1.004
53,-0.008,-0.008,1.000
54,-0.012,-0.012,1.000
55,-0.008,-0.012,0.992
56,-0.012,-0.012,1.000
57,-0.012,0.000,0.992
58,-0.008,0.000,0.992
59,-0.012,-0.023,0.992
60,-0.008,-0.016,0.992
61,-0.016,-0.016,0.996
62,-0.008,-0.012,0.992
63,-0.004,0.000,0.996
64,-0.012,-0.016,1.000
65,-0.012,-0.008,1.000
66,-0.008,-0.012,0.996
67,-0.004,-0.008,1.000
68,-0.004,-0.008,0.988
69,-0.012,0.004,0.992
70,-0.008,0.000,1.000
71,-0.016,-0.012,0.996
72,-0.016,-0.047,1.004
73,-0.016,0.012,0.988
74,-0.004,-0.012,1.004
75,-0.008,0.000,0.992
76,-0.020,-0.012,0.988
77,-0.004,-0.008,0.988
78,-0.008,-0.020,0.992
79,-0.016,-0.008,0.992
80,-0.012,0.000,0.992
81,-0.020,-0.008,0.996
82,-0.012,0.004,0.992
83,-0.012,-0.016,0.996
84,-0.016,-0.016,1.000
85,-0.016,0.000,1.000
86,-0.008,0.000,0.988
87,-0.008,-0.008,0.992
88,0.000,-0.086,1.035
89,0.016,-0.227,1.109
90,0.000,-0.355,1.184
91,0.008,-0.305,1.070
92,0.047,-0.277,0.996
93,0.094,-0.363,0.988
94,0.117,-0.555,1.082
95,0.125,-0.688,1.156
96,0.055,-0.680,1.082
97,-0.082,-0.578,0.926
98,-0.145,-0.590,0.855
99,-0.199,-0.652,0.820
100,-0.332,-0.656,0.742
101,-0.293,-0.738,0.746
102,0.105,-0.695,0.758
103,0.426,-0.566,0.793
104,0.453,-0.371,0.840
105,-0.059,-0.219,0.781
106,-0.699,-0.141,0.840
107,-0.723,-0.227,1.051
108,-0.246,-0.250,1.273
109,0.195,-0.152,1.316
110,0.312,-0.160,1.215
111,0.375,-0.156,1.109
112,0.254,-0.059,1.055
113,-0.035,0.047,1.098
114,-0.285,0.055,1.211
115,-0.621,-0.258,1.305
116,-0.625,-0.633,1.410
117,0.391,-0.609,1.293
118,1.605,-0.152,1.074
119,1.531,0.340,0.637
120,-0.055,0.062,0.680
121,-1.816,-0.922,0.758
122,-1.945,-1.680,1.004
123,-0.059,-0.883,1.145
124,1.926,0.305,0.602
125,1.949,0.457,-0.105
126,0.312,-0.551,1.113
127,-1.816,-1.430,0.711
128,-1.836,-1.039,0.773
129,0.086,-0.051,1.250
130,0.977,-0.039,0.766
131,1.238,0.059,1.199
132,-0.004,-0.188,1.199
133,-1.516,-0.594,1.059
134,-1.109,-0.871,1.566
135,0.629,-0.039,1.113
136,1.691,0.746,0.988
137,0.211,0.145,1.090
138,-1.160,-0.652,1.195
139,-1.105,-0.504,1.133
140,-0.270,-0.238,1.195
141,1.270,0.102,0.957
142,1.457,0.273,0.883
143,-0.129,-0.125,0.855
144,-1.352,-0.762,0.930
145,-0.867,-0.715,0.840
146,-0.004,-0.391,0.844
147,1.305,-0.152,0.914
148,1.277,-0.031,0.645
149,-0.336,-0.402,0.996
150,-1.305,-0.969,1.152
151,-0.816,-0.891,0.984
152,0.203,-0.352,1.105
153,0.945,-0.082,0.961
154,0.754,-0.199,0.734
155,-0.270,-0.539,1.238
156,-1.066,-0.707,1.105
157,-0.480,-0.477,1.105
158,0.344,-0.250,1.074
159,0.500,-0.184,1.090
160,0.316,0.020,0.875
161,-0.641,-0.422,0.938
162,-0.523,-0.492,1.070
163,0.117,-0.234,1.020
164,0.102,-0.074,0.941
165,-0.414,-0.223,0.781
166,-0.594,-0.461,0.777
167,-0.145,-0.336,0.945
168,0.527,-0.070,0.793
169,1.156,-0.031,1.047
170,0.496,-0.086,1.090
171,-0.586,-0.516,1.250
172,-0.906,-0.426,1.043
173,-0.566,-0.371,1.109
174,0.402,-0.191,1.113
175,0.926,-0.324,1.141
176,0.547,-0.434,1.070
177,-0.371,-0.637,0.973
178,-0.695,-0.590,0.777
179,-0.223,-0.551,0.926
180,0.551,-0.371,0.941
181,0.801,-0.359,1.023
182,0.324,-0.324,1.074
183,-0.355,-0.320,0.816
184,-0.734,-0.602,0.777
185,-0.586,-0.453,1.020
186,0.020,-0.031,0.773
187,0.227,-0.047,0.695
188,0.074,-0.113,0.863
189,0.180,-0.211,1.023
190,0.016,0.297,0.770
191,-0.578,0.309,0.812
192,-0.547,0.066,1.145
193,-0.078,0.344,1.152
194,0.152,0.504,1.359
195,0.531,0.520,1.445
196,0.254,0.316,1.246
197,-0.125,0.289,1.297
198,-0.395,0.242,1.188
199,-0.504,0.207,0.996
200,-0.195,-0.102,1.125
201,0.320,-0.086,1.047
202,0.824,0.031,1.098
203,0.641,0.039,0.781
204,0.195,-0.047,0.797
205,-0.055,-0.305,0.980
206,-0.234,-0.395,0.973
207,-0.352,-0.199,0.730
208,-0.180,-0.266,0.785
209,0.133,-0.137,0.566
210,-0.074,-0.516,0.824
211,-0.113,-0.352,0.742
212,0.035,-0.055,0.793
213,0.328,0.105,0.930
214,0.125,-0.414,1.273
215,-0.367,0.027,1.027
216,-0.855,0.281,0.922
217,-0.684,-0.020,1.352
218,-0.441,-0.242,1.352
219,0.180,0.203,1.281
220,0.785,0.508,1.145
221,0.281,0.211,0.945
222,-0.195,-0.051,1.195
223,-0.293,0.062,1.016
224,-0.168,0.234,0.996
225,-0.086,0.164,1.109
226,0.062,0.098,0.895
227,0.211,-0.043,0.977
228,0.141,0.027,0.723
229,0.016,-0.043,0.785
230,0.531,-0.082,0.859
231,0.520,-0.043,0.828
232,0.031,-0.090,0.980
233,-0.094,-0.188,0.945
234,-0.355,-0.266,0.988
235,-0.359,-0.410,1.262
236,0.133,0.035,0.812
237,0.484,0.012,0.957
238,0.363,-0.086,1.086
239,0.012,-0.289,1.273
240,-0.570,-0.402,1.340
241,-0.832,0.059,0.781
242,-0.562,-0.129,0.988
243,-0.043,-0.145,1.008
244,0.480,-0.008,0.840
245,0.629,0.051,0.973
246,0.309,0.094,0.941
247,-0.297,-0.016,0.840
248,-0.445,0.035,0.918
249,-0.363,0.133,0.879
250,-0.223,0.164,0.988
251,-0.141,-0.047,1.168
