Sample,X,Y,Z
0,-0.023,-0.027,1.000
1,-0.031,-0.020,1.000
2,-0.016,-0.027,1.000
3,-0.008,-0.043,0.996
4,-0.012,-0.031,0.992
5,-0.016,-0.027,0.996
6,-0.027,-0.027,0.992
7,-0.027,-0.035,0.992
8,-0.004,-0.031,0.996
9,-0.004,-0.031,1.000
10,-0.016,-0.023,1.000
11,-0.027,-0.027,0.988
12,-0.031,-0.027,0.992
13,-0.012,-0.031,0.996
14,0.000,-0.023,0.988
15,-0.016,-0.020,0.992
16,-0.035,-0.035,1.004
17,-0.031,-0.027,0.992
18,-0.012,-0.035,1.000
19,0.000,-0.035,0.996
20,-0.008,-0.027,0.992
21,-0.023,-0.016,1.000
22,-0.031,-0.031,0.992
23,-0.016,-0.035,0.996
24,-0.023,-0.027,1.008
25,-0.012,-0.039,0.996
26,-0.012,-0.031,0.996
27,-0.031,-0.020,1.000
28,-0.027,-0.035,1.000
29,-0.012,-0.016,1.000
30,-0.008,-0.027,0.988
31,-0.020,-0.027,0.988
32,-0.027,-0.023,0.984
33,-0.027,-0.039,0.992
34,-0.008,-0.043,0.988
35,-0.004,-0.035,0.984
36,-0.012,-0.031,0.988
37,-0.023,-0.031,0.996
38,-0.016,-0.035,1.004
39,-0.012,-0.035,0.996
40,-0.016,-0.035,0.992
41,-0.023,-0.031,0.988
42,-0.020,-0.027,0.992
43,-0.020,-0.027,0.992
44,-0.004,-0.039,0.996
45,-0.008,-0.031,0.988
46,-0.016,-0.027,0.996
47,-0.031,-0.023,0.996
48,-0.035,-0.020,1.000
49,-0.023,-0.051,0.992
50,0.012,-0.031,0.992
51,-0.004,-0.043,0.996
52,-0.023,-0.020,0.992
53,-0.043,-0.055,1.000
54,-0.016,-0.039,0.992
55,-0.004,-0.035,0.988
56,-0.008,-0.027,0.984
57,-0.016,-0.039,0.992
58,-0.020,-0.031,1.000
59,-0.012,-0.039,0.992
60,-0.008,-0.035,0.992
61,-0.008,-0.035,0.992
62,-0.023,-0.035,1.000
63,-0.027,-0.039,0.996
64,-0.008,-0.035,1.000
65,-0.008,-0.035,0.992
66,-0.008,-0.027,0.996
67,-0.023,-0.027,0.992
68,-0.012,-0.020,0.996
69,-0.008,-0.035,1.004
70,-0.016,-0.047,0.992
71,-0.008,-0.027,0.992
72,-0.020,-0.039,0.996
73,-0.027,-0.035,0.992
74,-0.012,-0.031,0.988
75,-0.020,-0.055,1.004
76,-0.012,-0.012,0.977
77,-0.035,-0.059,0.988
78,-0.020,-0.031,0.992
79,-0.008,-0.051,0.988
80,-0.004,-0.047,0.996
