Sample,X,Y,Z
0,0.012,-0.059,0.590
1,-0.020,-0.043,0.992
2,-0.020,-0.043,0.992
3,-0.020,-0.035,1.000
4,-0.020,-0.035,1.004
5,-0.016,-0.043,1.000
6,-0.012,-0.043,1.000
7,-0.012,-0.043,0.996
8,-0.012,-0.039,1.000
9,-0.027,-0.039,0.992
10,-0.020,-0.035,1.000
11,-0.016,-0.047,0.996
12,-0.016,-0.043,1.000
13,-0.012,-0.043,0.996
14,-0.027,-0.039,0.996
15,-0.016,-0.043,1.004
16,-0.020,-0.047,0.988
17,-0.012,-0.039,0.992
18,-0.020,-0.039,1.000
19,-0.016,-0.035,1.004
20,-0.023,-0.039,1.000
21,-0.012,-0.043,0.992
22,-0.016,-0.043,1.004
23,-0.012,-0.035,0.992
24,-0.020,-0.051,0.996
25,-0.023,-0.039,0.984
26,0.004,-0.047,0.996
27,-0.012,-0.039,1.004
28,-0.016,-0.023,1.000
29,-0.012,-0.008,1.000
30,-0.039,-0.031,0.996
31,-0.016,-0.035,0.992
32,-0.012,-0.039,0.992
33,-0.020,-0.043,1.000
34,-0.008,-0.043,1.000
35,-0.016,-0.035,0.996
36,-0.012,-0.039,0.996
37,-0.016,-0.039,0.988
38,-0.016,-0.027,0.996
39,-0.008,-0.043,0.996
40,-0.020,-0.047,1.000
41,-0.023,-0.043,1.000
42,-0.012,-0.035,1.000
43,-0.020,-0.035,0.996
44,-0.012,-0.035,0.996
45,-0.012,-0.027,1.000
46,-0.012,-0.043,1.000
47,-0.020,-0.043,1.000
48,-0.023,-0.047,1.004
49,-0.016,-0.055,0.988
50,-0.008,-0.055,0.988
51,-0.016,-0.055,0.996
52,-0.020,0.000,0.988
53,-0.027,-0.059,0.996
54,-0.023,-0.031,0.992
55,-0.020,-0.035,1.004
56,-0.012,-0.031,0.996
57,-0.012,-0.043,1.004
58,-0.020,-0.027,1.004
59,-0.020,-0.039,1.000
60,-0.016,-0.035,1.000
61,-0.016,-0.039,1.000
62,-0.012,-0.035,1.000
63,-0.012,-0.027,0.996
64,-0.023,-0.027,0.996
65,-0.023,-0.031,1.000
66,-0.012,-0.035,1.000
67,-0.008,-0.031,0.996
68,-0.027,-0.031,0.992
69,-0.016,-0.035,0.996
70,-0.020,-0.035,0.996
71,-0.020,-0.035,0.996
72,-0.020,-0.008,0.992
73,0.000,-0.023,0.992
74,-0.027,-0.020,1.008
75,-0.020,-0.055,0.988
76,-0.023,-0.016,0.996
77,-0.016,-0.051,1.000
78,-0.012,-0.035,1.004
79,-0.020,-0.027,1.008
80,-0.020,-0.027,1.000
81,-0.023,-0.027,0.996
82,-0.016,-0.031,0.996
