Sample,X,Y,Z
0,-0.004,0.000,0.656
1,-0.012,-0.023,0.996
2,-0.020,-0.031,1.000
3,-0.012,-0.023,0.996
4,-0.016,-0.023,1.000
5,-0.023,-0.023,1.000
6,-0.016,-0.027,0.996
7,-0.008,-0.027,1.000
8,-0.012,-0.023,0.992
9,-0.020,-0.027,1.000
10,-0.023,-0.020,0.996
11,-0.020,-0.020,1.000
12,-0.016,-0.027,0.996
13,-0.016,-0.027,1.004
14,-0.012,-0.031,1.000
15,-0.016,-0.023,0.996
16,-0.023,-0.012,0.992
17,-0.008,-0.020,1.000
18,-0.008,-0.023,0.992
19,-0.008,-0.023,0.996
20,-0.012,-0.027,1.000
21,-0.012,-0.027,1.008
22,-0.020,-0.031,1.000
23,-0.016,-0.023,0.996
24,-0.023,-0.031,0.992
25,-0.016,-0.035,1.004
26,-0.031,-0.051,0.992
27,-0.008,-0.047,1.004
28,-0.023,-0.016,0.992
29,-0.020,-0.023,1.000
30,-0.012,-0.027,0.996
31,-0.016,-0.031,1.000
32,-0.012,-0.020,1.000
33,-0.012,-0.027,1.000
34,-0.008,-0.023,1.000
35,-0.004,-0.027,1.000
36,-0.012,-0.027,1.000
37,-0.023,-0.027,1.004
38,-0.023,-0.027,1.004
39,-0.016,-0.039,1.000
40,-0.008,-0.031,1.000
41,-0.004,-0.035,1.000
42,-0.016,-0.020,0.996
43,-0.023,-0.035,0.996
44,-0.012,-0.035,1.000
45,-0.012,-0.035,1.004
46,-0.008,-0.039,0.996
47,-0.012,-0.039,1.004
48,-0.020,-0.031,0.992
49,-0.008,-0.020,0.996
50,-0.012,-0.035,0.992
51,-0.023,-0.035,0.996
52,-0.023,-0.012,1.000
53,-0.031,-0.047,0.992
54,-0.020,-0.035,0.996
55,-0.020,-0.035,1.000
56,-0.016,-0.035,1.000
57,-0.008,-0.023,1.004
58,-0.016,-0.035,1.000
59,-0.012,-0.039,1.000
60,-0.016,-0.039,1.000
61,-0.012,-0.031,0.992
62,-0.016,-0.035,0.996
63,-0.016,-0.031,1.004
64,-0.008,-0.039,1.000
65,0.000,-0.039,1.000
66,-0.004,-0.035,0.996
67,-0.016,-0.035,1.008
68,-0.020,-0.035,1.004
69,-0.008,-0.031,0.996
70,-0.008,-0.043,0.992
71,-0.012,-0.043,1.004
72,-0.012,-0.047,0.992
73,-0.016,-0.035,1.000
74,-0.023,-0.039,1.000
75,-0.020,-0.070,1.004
76,-0.004,-0.062,1.000
77,-0.031,-0.047,0.996
78,-0.020,-0.027,0.996
79,-0.020,-0.043,0.992
80,-0.008,-0.047,1.000
81,-0.008,-0.039,1.004
82,-0.016,-0.035,1.000
83,-0.020,-0.031,1.004
84,-0.004,-0.039,0.992
85,-0.012,-0.047,0.992
86,-0.023,-0.090,1.016
87,-0.023,-0.176,1.031
88,-0.141,-0.180,1.016
89,-0.391,-0.070,0.930
90,-0.852,-0.062,0.926
91,-1.414,0.145,0.988
92,-1.395,0.203,0.723
93,-1.188,0.031,1.008
94,-0.879,-0.051,0.902
95,-0.855,-0.156,0.988
96,-1.215,0.086,1.031
97,-1.520,0.203,0.891
98,-1.480,0.012,1.152
99,-1.031,-0.082,1.090
100,-0.617,-0.094,1.156
101,-0.594,-0.176,1.102
102,-0.910,-0.082,1.082
103,-1.160,0.156,0.980
104,-0.863,-0.102,0.992
105,-0.312,-0.293,1.055
106,-0.121,-0.156,0.969
107,-0.410,-0.102,1.008
108,-0.645,-0.129,0.949
109,-0.629,-0.094,0.840
110,-0.586,0.055,0.734
111,-0.523,-0.016,0.820
112,-0.402,-0.277,0.977
113,-0.457,0.020,0.895
114,-0.594,0.152,0.832
115,-0.648,-0.305,1.086
116,-0.723,-0.008,0.961
117,-0.637,0.219,0.766
118,-0.668,-0.230,1.234
119,-0.918,0.020,1.094
120,-0.883,0.246,0.926
121,-0.746,-0.070,1.301
122,-0.750,0.074,1.031
123,-0.918,-0.008,1.137
124,-0.707,-0.039,1.113
125,-0.863,0.094,0.980
126,-1.184,-0.055,1.047
127,-0.895,-0.035,0.926
