Sample,X,Y,Z
0,-0.008,-0.074,0.633
1,-0.016,-0.043,0.992
2,-0.004,-0.039,1.000
3,-0.008,-0.043,1.000
4,-0.008,-0.039,0.996
5,-0.012,-0.047,1.000
6,-0.008,-0.039,0.992
7,-0.004,-0.047,0.996
8,-0.008,-0.039,0.988
9,-0.012,-0.043,0.996
10,-0.008,-0.043,1.000
11,-0.008,-0.051,0.996
12,-0.012,-0.051,0.992
13,-0.004,-0.043,0.996
14,-0.004,-0.039,1.004
15,-0.012,-0.035,1.000
16,-0.012,-0.039,1.000
17,-0.004,-0.039,0.996
18,-0.012,-0.039,1.004
19,-0.012,-0.035,1.004
20,-0.008,-0.039,0.996
21,-0.020,-0.039,0.996
22,-0.008,-0.039,0.996
23,-0.020,-0.039,1.000
24,-0.004,-0.012,0.988
25,-0.012,-0.027,0.996
26,-0.008,-0.047,1.004
27,-0.012,-0.047,0.992
28,-0.023,-0.043,0.996
29,-0.016,-0.051,0.992
30,-0.020,-0.043,0.992
31,-0.008,-0.035,0.996
32,-0.012,-0.043,0.996
33,-0.008,-0.039,0.996
34,-0.008,-0.043,1.000
35,-0.016,-0.035,0.988
36,-0.008,-0.039,0.996
37,-0.012,-0.039,1.000
38,-0.008,-0.043,0.992
39,-0.016,-0.031,1.004
40,-0.008,-0.039,0.992
41,-0.012,-0.035,1.000
42,-0.016,-0.027,0.996
43,-0.012,-0.039,0.996
44,-0.004,-0.039,0.996
45,-0.020,-0.027,0.996
46,-0.020,-0.031,0.996
47,-0.012,-0.031,0.996
48,-0.012,-0.047,0.992
49,-0.004,-0.070,0.996
50,-0.012,-0.023,1.000
51,-0.020,-0.039,1.000
52,-0.008,-0.039,1.004
53,-0.020,-0.043,0.992
54,-0.016,-0.035,1.000
55,-0.012,-0.039,0.992
56,-0.016,-0.027,0.992
57,-0.023,-0.027,1.000
58,-0.020,-0.031,0.992
59,-0.020,-0.047,0.996
60,-0.008,-0.039,0.996
61,-0.012,-0.023,0.996
62,-0.020,-0.031,1.000
63,-0.012,-0.043,1.004
64,-0.016,-0.039,1.004
65,-0.020,-0.020,1.000
66,-0.012,-0.031,1.000
67,-0.016,-0.031,1.000
68,-0.023,-0.039,0.996
69,-0.020,-0.039,0.996
70,-0.016,-0.031,1.000
71,-0.016,-0.039,0.996
72,-0.020,-0.012,0.988
73,-0.027,-0.016,0.996
74,-0.012,-0.047,0.992
75,-0.016,-0.031,0.988
76,-0.023,-0.043,1.000
77,-0.016,-0.008,0.996
78,-0.016,-0.027,0.996
79,-0.016,-0.031,0.996
80,-0.004,-0.027,1.004
81,-0.023,-0.027,1.000
82,-0.027,-0.035,1.004
83,-0.016,-0.035,0.992
84,-0.008,-0.035,0.992
85,-0.016,-0.023,0.996
86,-0.008,-0.035,0.992
87,-0.023,-0.148,1.059
88,-0.051,-0.312,1.105
89,-0.113,-0.352,1.129
90,-0.168,-0.340,1.051
91,-0.090,-0.512,1.074
92,-0.031,-0.684,1.117
93,-0.074,-0.801,1.098
94,-0.121,-0.918,1.145
95,-0.051,-0.957,1.043
96,0.070,-1.055,1.008
97,0.281,-1.324,1.070
98,0.434,-1.383,0.992
99,0.387,-1.328,0.867
100,0.258,-1.281,0.711
101,0.020,-1.289,0.684
102,-0.332,-1.293,0.730
103,-0.398,-1.312,0.754
104,0.027,-1.281,0.754
105,0.352,-1.125,0.656
106,0.113,-0.973,0.699
107,-0.352,-0.973,0.938
108,-0.527,-0.848,1.016
109,-0.312,-0.496,0.910
110,-0.043,-0.492,0.949
111,-0.035,-0.762,1.258
112,-0.121,-0.547,1.211
113,-0.262,-0.160,0.996
114,-0.488,-0.277,1.305
115,-0.383,-0.309,1.262
116,-0.012,-0.148,1.160
117,0.379,-0.422,1.289
118,0.352,-0.438,1.324
119,0.051,-0.246,1.066
120,-0.043,-0.316,1.039
121,-0.082,-0.520,1.148
122,-0.027,-0.516,0.887
123,0.094,-0.430,0.812
124,0.285,-0.793,0.977
125,0.113,-0.746,0.832
126,-0.102,-0.660,0.738
127,0.145,-0.770,0.809
128,0.242,-0.914,0.898
129,0.328,-0.871,0.688
130,0.422,-1.109,1.059
131,0.227,-1.016,0.973
132,-0.160,-0.742,0.742
133,-0.223,-0.941,0.996
134,-0.043,-1.031,1.000
135,0.035,-0.914,1.039
136,0.273,-0.867,0.988
