Sample,X,Y,Z
0,-0.070,-0.016,0.629
1,-0.008,0.012,0.984
2,-0.008,0.012,0.984
3,-0.004,0.023,0.980
4,-0.008,0.012,0.980
5,-0.008,0.012,0.988
6,-0.016,0.012,0.992
7,-0.004,0.004,0.988
8,-0.012,0.000,0.980
9,-0.004,0.012,0.984
10,-0.020,0.016,0.988
11,-0.020,0.012,0.988
12,-0.016,0.020,0.988
13,-0.008,0.016,0.984
14,-0.012,0.008,0.992
15,-0.020,0.016,0.984
16,-0.012,0.008,0.992
17,-0.020,0.012,0.984
18,-0.016,0.020,0.980
19,-0.004,0.016,0.988
20,-0.004,0.012,0.977
21,-0.004,0.012,0.980
22,-0.016,0.008,0.984
23,-0.023,0.012,0.980
24,-0.016,0.020,0.992
25,-0.012,0.023,0.988
26,-0.008,0.023,1.000
27,-0.004,0.004,0.984
28,-0.016,-0.012,0.988
29,-0.020,0.000,0.980
30,-0.008,0.004,0.984
31,-0.008,0.008,0.992
32,-0.004,0.012,0.992
33,-0.004,0.012,0.980
34,0.008,0.012,0.988
35,-0.012,-0.004,0.984
36,-0.004,0.004,0.988
37,-0.008,0.008,0.984
38,0.000,0.012,0.984
39,-0.008,0.008,0.984
40,-0.012,0.012,0.988
41,-0.016,0.012,0.980
42,0.000,0.020,0.988
43,-0.004,0.008,0.984
44,-0.004,0.008,0.988
45,0.000,0.012,0.988
46,-0.004,0.004,0.984
47,-0.012,0.016,0.984
48,-0.008,0.020,0.984
49,-0.008,0.008,0.984
50,-0.004,0.043,0.984
51,-0.004,0.000,0.988
52,-0.020,0.016,0.977
53,-0.004,-0.008,0.996
54,-0.004,0.004,0.992
55,-0.012,0.008,0.980
56,0.000,0.004,0.984
57,-0.016,0.004,0.980
58,-0.012,0.016,0.980
59,-0.008,-0.004,0.984
60,-0.008,0.012,0.977
61,0.004,0.008,0.988
62,-0.004,0.023,0.984
63,-0.012,0.012,0.988
64,-0.008,0.012,0.984
65,-0.016,0.008,0.977
66,-0.004,0.004,0.980
67,-0.004,0.012,0.988
68,-0.016,0.012,0.992
69,-0.016,0.008,0.980
70,-0.012,0.016,0.984
71,-0.004,0.016,0.977
72,-0.012,-0.016,0.992
73,-0.004,0.004,0.980
74,-0.012,0.039,0.984
75,0.004,0.000,0.996
76,-0.016,0.000,0.988
77,-0.004,0.016,0.984
78,0.000,0.012,0.988
79,0.000,0.008,0.988
80,-0.012,0.008,0.984
81,-0.016,0.000,0.980
82,-0.012,0.012,0.988
83,-0.016,0.027,0.980
84,-0.008,0.012,0.980
85,-0.016,0.004,0.984
86,-0.020,0.012,0.984
87,-0.023,0.008,0.984
88,-0.027,0.000,0.996
89,-0.031,-0.090,1.078
90,-0.004,-0.246,1.238
91,0.000,-0.328,1.293
92,0.020,-0.324,1.262
93,0.035,-0.305,1.152
94,-0.004,-0.332,1.066
95,-0.020,-0.445,1.082
96,0.027,-0.574,1.168
97,0.027,-0.570,1.137
98,0.000,-0.578,1.074
