Sample,X,Y,Z
0,-0.004,0.000,0.621
1,-0.012,0.016,0.996
2,-0.023,0.004,1.000
3,-0.012,0.016,0.996
4,-0.008,0.012,0.992
5,-0.020,0.008,0.992
6,-0.004,0.016,0.996
7,-0.012,0.020,0.988
8,-0.012,0.012,0.984
9,-0.008,0.012,0.984
10,-0.016,0.008,0.996
11,-0.023,0.023,0.988
12,-0.016,0.023,0.992
13,-0.020,0.016,0.996
14,-0.004,0.008,0.992
15,-0.004,0.008,1.000
16,-0.012,0.004,0.996
17,-0.012,0.020,0.992
18,-0.027,0.016,0.992
19,-0.012,0.012,0.992
20,-0.008,0.020,0.996
21,-0.008,0.000,0.992
22,-0.016,0.016,0.984
23,-0.020,0.020,0.996
24,-0.023,-0.016,1.000
25,-0.012,0.020,1.008
26,-0.023,0.027,0.984
27,-0.008,0.023,1.000
28,-0.016,0.039,1.000
29,-0.016,-0.012,0.996
30,-0.016,0.016,0.988
31,-0.016,0.020,0.988
32,-0.016,0.020,0.992
33,-0.008,0.020,0.992
34,-0.020,0.012,0.992
35,-0.012,0.000,0.996
36,-0.023,0.012,0.988
37,-0.008,0.004,0.988
38,-0.012,0.012,0.992
39,-0.016,0.012,0.992
40,-0.004,0.012,0.996
41,-0.016,0.020,0.996
42,-0.023,0.004,0.992
43,-0.020,0.004,0.996
44,-0.008,0.008,0.988
45,-0.008,0.020,0.988
46,-0.012,0.008,1.004
47,-0.016,0.016,0.988
48,-0.023,-0.020,0.992
49,-0.008,0.016,0.996
50,-0.008,-0.004,0.984
51,-0.020,0.027,0.996
52,-0.012,-0.016,0.996
53,-0.012,0.004,0.988
54,-0.008,0.000,0.992
55,-0.016,0.012,0.996
56,-0.016,-0.004,0.992
57,-0.008,0.008,0.984
58,-0.012,0.008,0.988
59,-0.012,0.004,0.992
60,-0.012,0.012,0.988
61,-0.020,0.020,0.988
62,-0.016,0.012,0.992
63,-0.008,0.008,0.988
64,-0.016,0.008,1.000
65,-0.020,0.000,0.996
66,-0.012,0.008,0.996
67,-0.016,0.004,0.988
68,-0.016,0.000,1.000
69,-0.012,0.004,0.992
70,-0.012,0.008,0.996
71,-0.008,0.012,0.992
72,-0.012,-0.012,0.992
73,-0.016,-0.004,0.988
74,-0.016,-0.004,0.988
75,-0.012,0.027,0.980
76,-0.016,-0.012,0.988
77,-0.004,0.008,0.980
78,-0.008,0.035,0.996
79,-0.020,-0.004,0.992
80,-0.012,0.000,1.004
81,-0.016,0.000,0.980
82,-0.008,0.012,0.992
83,-0.004,-0.004,0.988
84,-0.008,0.000,0.992
85,-0.008,0.004,0.992
86,-0.016,-0.008,0.988
87,-0.012,0.012,0.992
88,-0.004,0.008,0.996
89,-0.012,0.012,0.980
90,-0.012,0.008,1.000
91,0.000,-0.012,1.020
92,-0.020,-0.141,1.121
93,-0.027,-0.242,1.223
94,0.000,-0.219,1.199
95,0.016,-0.195,1.094
96,0.020,-0.191,1.035
97,-0.012,-0.270,1.035
98,-0.016,-0.406,1.137
99,0.016,-0.438,1.160
100,0.027,-0.434,1.066
101,-0.012,-0.363,0.941
102,-0.039,-0.371,0.848
103,-0.027,-0.359,0.766
104,0.043,-0.371,0.777
105,0.008,-0.320,0.723
106,-0.105,-0.289,0.703
107,-0.113,-0.215,0.645
108,-0.164,-0.148,0.500
109,-0.246,-0.168,0.586
110,-0.039,-0.156,0.785
111,0.277,-0.156,0.902
112,0.414,-0.172,1.090
113,0.285,-0.129,1.168
114,-0.137,-0.168,1.035
115,-0.477,-0.188,1.031
116,-0.293,-0.094,1.055
117,0.172,-0.023,1.168
118,0.477,-0.023,1.371
119,0.109,-0.078,1.387
120,-0.523,-0.230,1.344
121,-0.504,-0.312,1.348
122,-0.504,-0.312,1.348
123,0.242,-0.172,1.324
124,0.645,-0.055,1.320
125,0.223,-0.062,1.273
126,-0.324,-0.066,1.066
