Sample,X,Y,Z
0,-0.004,-0.016,0.605
1,-0.008,0.008,0.988
2,0.000,-0.004,0.988
3,-0.008,0.004,0.988
4,-0.004,-0.004,0.988
5,-0.004,0.000,0.984
6,-0.012,-0.004,0.988
7,-0.004,-0.008,0.992
8,-0.004,-0.008,0.988
9,-0.008,-0.012,0.992
10,0.000,-0.004,0.992
11,-0.004,-0.004,0.988
12,0.000,-0.012,0.992
13,-0.008,-0.004,0.996
14,-0.004,-0.004,0.988
15,-0.004,-0.012,0.984
16,0.000,-0.004,0.988
17,0.000,-0.012,0.988
18,0.000,-0.008,0.988
19,-0.008,0.000,0.984
20,-0.008,-0.004,0.988
21,-0.016,-0.004,0.984
22,-0.004,0.000,0.988
23,-0.004,-0.012,0.988
24,-0.012,-0.023,0.984
25,-0.016,0.016,0.984
26,0.004,-0.051,0.992
27,0.004,0.004,0.980
28,0.000,-0.004,0.984
29,-0.016,-0.004,0.984
30,0.000,-0.012,0.992
31,-0.008,-0.020,0.984
32,-0.004,-0.004,0.980
33,-0.008,-0.008,0.980
34,-0.004,-0.016,0.992
35,-0.012,-0.016,0.996
36,-0.008,-0.004,0.984
37,-0.012,-0.004,0.992
38,0.004,-0.008,0.988
39,-0.008,-0.012,0.980
40,0.004,-0.016,0.988
41,0.000,-0.016,0.988
42,0.000,0.000,0.980
43,-0.008,-0.012,0.984
44,-0.004,-0.023,0.988
45,0.000,-0.023,0.984
46,0.000,0.004,0.984
47,-0.004,-0.004,0.988
48,-0.004,-0.039,0.988
49,0.000,0.004,0.996
50,-0.004,-0.016,0.984
51,-0.008,-0.023,0.992
52,-0.004,0.004,0.980
53,0.000,-0.008,0.996
54,-0.004,-0.004,0.984
55,0.000,-0.012,0.980
56,0.000,-0.004,0.980
57,-0.008,-0.012,0.984
58,-0.008,-0.008,0.980
59,-0.008,-0.020,0.988
60,-0.004,-0.004,0.984
61,-0.012,-0.012,0.988
62,-0.004,-0.012,0.984
63,0.000,-0.016,0.992
64,0.000,-0.016,1.000
65,-0.008,-0.004,0.988
66,-0.004,-0.016,0.980
67,-0.008,-0.008,0.992
68,0.000,-0.012,0.988
69,-0.008,-0.023,0.988
70,-0.004,-0.008,0.980
71,-0.004,-0.008,0.984
72,-0.008,-0.023,0.996
73,0.004,-0.020,0.984
74,-0.004,-0.008,0.992
75,0.004,-0.004,0.992
76,-0.012,-0.004,0.992
77,-0.004,0.012,0.984
78,0.000,-0.012,0.988
79,0.000,-0.008,0.988
80,-0.004,0.000,0.984
81,-0.004,-0.012,0.988
82,-0.004,-0.020,0.992
83,0.000,-0.004,0.984
84,0.000,0.000,0.980
85,-0.004,-0.020,0.984
86,-0.008,-0.012,0.992
87,-0.012,-0.004,0.980
88,-0.012,-0.004,0.988
89,0.000,0.008,1.020
90,-0.012,0.086,1.055
91,-0.266,0.070,1.074
92,-0.699,-0.082,1.035
93,-0.906,-0.129,0.875
94,-0.684,-0.133,0.855
95,-0.246,-0.059,0.875
96,0.012,-0.039,0.918
97,-0.332,-0.020,0.957
98,-0.770,-0.141,1.051
99,-0.887,-0.094,1.027
100,-0.719,0.070,1.062
101,-0.480,0.094,1.035
102,-0.391,0.105,0.992
103,-0.285,0.066,0.918
104,-0.156,-0.023,0.922
105,-0.023,-0.016,0.938
106,-0.113,-0.016,0.988
107,-0.305,0.004,1.012
108,-0.559,-0.039,0.961
109,-0.477,-0.180,1.078
110,0.164,-0.121,1.195
111,0.492,0.168,1.102
112,0.156,0.234,1.000
113,-0.508,0.035,0.934
114,-0.945,-0.191,0.934
115,-0.781,-0.230,0.945
116,-0.055,-0.082,0.961
117,0.660,0.027,1.023
118,0.578,0.262,0.793
119,-0.441,0.180,0.719
120,-1.434,-0.191,0.816
121,-1.574,-0.344,0.957
122,-0.504,-0.242,1.223
123,0.676,0.191,1.234
124,0.910,0.520,0.977
125,-0.320,0.137,0.934
126,-1.828,-0.355,0.945
127,-1.691,-0.488,1.027
128,-0.070,-0.066,1.180
129,1.250,0.574,1.074
130,0.719,0.332,0.809
131,-0.953,-0.223,0.926
132,-1.543,-0.438,1.105
133,-0.609,-0.098,1.164
134,0.543,0.281,1.105
135,0.516,0.203,0.969
136,-0.289,-0.086,0.914
137,-0.957,-0.129,0.590
138,-0.922,-0.152,0.746
139,-0.402,-0.117,1.141
140,0.316,-0.035,1.180
141,0.527,0.348,0.898
142,-0.441,0.105,0.820
143,-1.242,-0.406,1.012
144,-0.953,-0.246,1.023
145,-0.047,0.301,0.984
146,0.445,0.055,1.145
147,0.156,-0.051,1.160
148,-0.555,0.066,0.836
149,-0.965,-0.125,0.855
150,-0.375,-0.176,1.188
151,0.191,0.195,1.172
152,0.242,0.238,1.086
153,-0.242,-0.051,1.062
154,-0.719,-0.035,0.832
155,-0.723,-0.148,0.812
156,-0.047,0.082,0.902
157,0.000,0.133,0.957
158,-0.332,-0.094,1.074
159,-0.574,-0.113,0.852
160,-0.961,-0.109,0.758
161,-0.516,-0.121,1.027
162,0.121,0.113,0.996
163,0.016,0.074,1.168
164,-0.340,-0.086,1.070
165,-0.664,-0.109,0.887
166,-0.672,-0.207,0.961
167,-0.215,0.129,0.816
168,0.191,0.121,1.078
169,0.070,0.059,1.207
170,-0.375,0.027,1.023
171,-0.586,-0.098,0.988
172,-0.566,0.098,0.797
