Sample,X,Y,Z
0,0.062,0.004,0.625
1,0.004,0.012,0.992
2,0.000,0.000,0.988
3,-0.020,-0.004,0.984
4,-0.016,-0.008,0.988
5,-0.008,0.004,0.988
6,-0.008,0.000,0.988
7,0.000,-0.004,0.992
8,-0.008,-0.004,0.988
9,-0.020,0.004,0.992
10,-0.012,-0.004,0.988
11,-0.004,0.004,0.992
12,0.000,-0.004,0.980
13,-0.004,0.008,0.988
14,-0.012,0.000,0.984
15,-0.012,0.004,0.988
16,0.004,-0.004,0.988
17,0.000,-0.004,0.980
18,-0.004,0.004,0.984
19,-0.016,0.000,0.992
20,-0.012,-0.012,0.992
21,-0.008,-0.012,0.988
22,0.004,0.004,0.988
23,-0.004,-0.004,0.988
24,-0.020,-0.031,0.992
25,-0.012,-0.008,0.992
26,-0.012,0.000,0.988
27,-0.008,0.000,0.980
28,0.000,0.000,0.980
29,-0.004,0.012,0.984
30,-0.008,0.004,0.984
31,-0.008,-0.004,0.988
32,-0.008,0.004,0.984
33,-0.008,-0.004,0.992
34,-0.008,0.004,0.980
35,0.000,-0.004,0.992
36,-0.008,0.000,0.980
37,-0.008,0.008,0.984
38,-0.012,-0.004,0.984
39,0.000,0.008,0.984
40,0.000,-0.004,0.980
41,-0.008,0.000,0.984
42,-0.012,0.000,0.984
43,-0.008,-0.004,0.984
44,0.000,-0.012,0.988
45,-0.008,0.004,0.988
46,0.004,0.012,0.988
47,-0.016,-0.012,0.988
48,-0.023,-0.012,0.980
49,-0.008,0.000,0.980
50,0.004,0.023,0.988
51,0.000,-0.012,0.984
52,0.000,-0.008,0.988
53,-0.004,0.008,0.992
54,-0.004,0.004,0.992
55,0.000,-0.004,0.992
56,-0.012,0.008,0.984
57,-0.020,0.004,0.988
58,-0.008,0.000,0.996
59,-0.008,0.000,0.984
60,0.000,0.008,0.988
61,-0.012,0.000,0.992
62,-0.016,-0.004,0.988
63,-0.008,-0.004,0.980
64,0.000,-0.008,0.988
65,-0.004,0.012,0.980
66,-0.004,0.000,0.992
67,0.000,0.004,0.988
68,-0.012,0.008,0.984
69,-0.008,-0.004,0.984
70,-0.012,0.016,0.988
71,-0.012,0.012,0.992
72,-0.004,-0.031,0.988
73,-0.008,0.012,0.988
74,-0.008,0.023,0.980
75,-0.027,-0.016,0.984
76,0.000,-0.004,0.980
77,-0.012,-0.031,0.988
78,-0.004,0.008,0.992
79,-0.008,-0.004,0.984
80,-0.016,0.004,0.996
81,-0.012,-0.008,0.992
82,-0.004,-0.004,1.000
83,0.000,0.000,0.992
84,-0.016,-0.004,0.980
85,-0.012,0.000,0.988
86,-0.016,0.000,0.984
87,0.004,0.004,0.984
88,-0.016,0.023,0.988
89,-0.059,-0.031,0.992
90,-0.117,-0.195,1.070
91,-0.012,-0.355,1.180
92,0.121,-0.191,1.074
93,0.125,-0.078,0.930
94,-0.043,-0.258,0.949
95,-0.113,-0.531,1.062
96,0.023,-0.617,1.164
97,0.164,-0.500,1.125
98,0.109,-0.508,0.980
99,0.035,-0.629,0.859
100,0.012,-0.770,0.844
101,0.059,-0.754,0.855
102,0.258,-0.656,0.887
103,0.305,-0.508,0.758
104,-0.008,-0.426,0.789
105,-0.465,-0.508,0.789
106,-0.715,-0.555,0.781
107,-0.445,-0.332,0.828
108,0.039,0.035,0.758
109,0.184,0.172,0.777
110,0.020,-0.172,1.027
111,-0.121,-0.348,1.180
112,0.066,0.090,1.242
113,0.312,0.504,1.102
114,-0.051,0.270,1.293
115,-0.688,-0.008,1.328
116,-0.812,-0.129,1.277
117,0.027,-0.219,1.363
118,1.180,-0.305,1.477
119,1.684,-0.102,1.312
120,0.594,-0.109,0.824
121,-1.188,-0.348,0.766
122,-1.910,-0.957,0.668
123,-0.863,-1.172,0.816
124,1.465,-0.695,1.363
125,1.992,-0.184,0.883
126,0.984,-0.234,-0.066
127,-1.578,-0.484,0.508
128,-1.992,-1.391,0.504
129,-0.562,-1.121,0.582
130,1.746,0.219,1.285
131,1.742,0.445,0.812
